"","X","Ind","Treatment","Temp","Mass","TimePoint","Tank","MMR_1minute","MR.abs","ln_Mass","ln_MR.mass","ln_MR.abs","Mass_Corrected","residuals"
"1","Ch1_MMR...1","BT_1","15",15.1586,5.4,"20",1,678.920190966104,3.66616903121696,1.68639895357023,6.52050358157253,1.29914725616063,623.99816211359,-0.0113445519079058
"2","Ch2_MMR...2","BT_2","15",15.1763333333333,5.5,"20",1,648.22119823566,3.56521659029613,1.70474809223843,6.47423199340575,1.27122480666204,596.406055208984,-0.0309858183263763
"3","Ch3_MMR...3","BT_3","15",15.1589797101449,7.7,"20",1,687.885880166325,5.2967212772807,2.04122032885964,6.53362295232381,1.66708800220132,645.155654299522,0.00313664544034031
"4","Ch4_MMR...4","BT_4","15",15.1589378787879,5.1,"20",1,671.856924803292,3.42647031649679,1.62924053973028,6.51004540833579,1.23153066908393,615.497707010831,-0.0173014231077393
"5","Ch5_MMR...5","BT_5","15",14.8730901515152,4.5,"20",1,810.363892412622,3.6466375158568,1.50407739677627,6.69748339667609,1.29380551447023,737.108359649878,0.0610034741751115
"6","Ch6_MMR...6","BT_6","15",14.8841954545455,3.6,"20",1,922.616485124765,3.32141934644915,1.28093384546206,6.82721363908111,1.20039220556104,828.606993195932,0.111820731846124
"7","Ch7_MMR...7","BT_7","15",14.884653030303,4.7,"20",1,626.290040351203,2.94356318965065,1.54756250871601,6.43981358704376,1.07962081677764,571.088250011374,-0.04982463768413
"8","Ch8_MMR...8","BT_8","15",14.8094174242424,5.7,"20",1,595.560066418886,3.39469237858765,1.7404661748405,6.38950225091076,1.22221314676913,549.071090481384,-0.0668992844728753
"9","Ch1_MMR...9","BT_1","15",15.1016303030303,3.6,"20",2,766.611452710171,2.75980122975662,1.28093384546206,6.64198009245157,1.0151586589315,688.498006507915,0.0313748246815462
"10","Ch2_MMR...10","BT_2","15",15.1356304347826,5.5,"20",2,678.259312522528,3.7304262188739,1.70474809223843,6.51952968166598,1.31652249492227,624.043092221209,-0.0113132822719857
"11","Ch3_MMR...11","BT_3","15",15.1514927536232,4.8,"20",2,805.536917644883,3.86657720469544,1.56861591791385,6.69150903352815,1.35236967245985,735.418144814473,0.0600064784722871
"12","Ch4_MMR...12","BT_4","15",15.0852913043478,6.5,"20",2,618.014234568136,4.01709252469288,1.87180217690159,6.4265114904742,1.39055838839366,574.053912236434,-0.0475751813957261
"13","Ch5_MMR...13","BT_5","15",14.7565072463768,8.2,"20",2,688.971442478395,5.64956582832284,2.10413415427021,6.53519982237296,1.73157869766103,648.495179404922,0.00537888965240096
"14","Ch6_MMR...14","BT_6","15",14.8061841269841,5,"20",2,844.96058507626,4.2248029253813,1.6094379124341,6.7392899813891,1.44097261484107,773.207187833552,0.0817680201851516
"15","Ch7_MMR...15","BT_7","15",14.8722413043478,7.4,"20",2,496.909887399135,3.6771331667536,2.00148000021012,6.20840869657721,1.3021334178052,464.988259879405,-0.139085874576847
"16","Ch8_MMR...16","BT_8","15",14.819484057971,8.3,"20",2,711.808646135357,5.90801176292346,2.11625551480255,6.56780911986289,1.77630935568331,670.453792470994,0.0198409892905875
"17","Ch1_MMR...17","BT_1","15",14.0530657894737,25.9,"98",1,547.517970052409,14.1807154243574,3.25424296870549,6.30539528316556,2.65188297288891,550.268440883182,0.053290692027979
"18","Ch2_MMR...18","BT_2","15",13.9921041666667,32.5,"98",1,397.552693022697,12.9204625232377,3.48124008933569,5.98532748637233,2.55881229672589,404.753108498005,-0.0800937209310848
"19","Ch3_MMR...19","BT_3","15",14.0060777777778,23.7,"98",1,538.364238434358,12.7592324508943,3.16547504814109,6.28853535419721,2.54625512335616,538.337955515949,0.0437710870816912
"20","Ch4_MMR...20","BT_4","15",14.0664375,40,"98",1,463.008586627897,18.5203434651159,3.68887945411394,6.13774559954687,2.91886977467867,477.006839585702,-0.00875930750737952
"21","Ch5_MMR...21","BT_5","15",14.4416359649123,20.9,"98",1,447.310140113615,9.34878192837455,3.03974915897077,6.10325217978528,2.23524605977391,444.09432472996,-0.0398086905691746
"22","Ch6_MMR...22","BT_6","15",14.235375,49.8,"98",1,355.390747637397,17.6984592323424,3.90801498403061,5.87321788172212,2.87347758677059,370.737341291813,-0.118217582637519
"23","Ch7_MMR...23","BT_7","15",14.3487291666667,31.2,"98",1,465.418547785606,14.5210586909109,3.44041809481544,6.14293710350253,2.67559991933583,472.746846047884,-0.0126552736333028
"24","Ch8_MMR...24","BT_8","15",14.3400708333333,37.6,"98",1,465.768272184311,17.5128870341301,3.62700405039585,6.14368824045517,2.86293701186888,478.160558452956,-0.00771016369778987
"25","Ch2_MMR...26","BT_2","15",14.5300708333333,35.9,"98",2,1010.52338096186,36.2777893765308,3.58073729549423,6.91822367458872,3.59120569110082,1034.67722953446,0.327520977793038
"26","Ch3_MMR...27","BT_3","15",14.4566184210526,41.5,"98",2,424.063762234377,17.5986461327266,3.72569342723665,6.04988382655387,2.86782197480839,437.802306304019,-0.0460058686815805
"27","Ch4_MMR...28","BT_4","15",14.4829458333333,22.7,"98",2,740.233501214349,16.8033004775657,3.12236492448736,6.6069656786068,2.82157532411202,738.380725960433,0.180996437980871
"28","Ch5_MMR...29","BT_5","15",14.7721625,44.2,"98",2,364.914117580563,16.1292039970609,3.78872478908365,5.89966203159662,2.78063154169813,378.092337800137,-0.109686037452809
"29","Ch6_MMR...30","BT_6","15",14.8543771929825,25.2,"98",2,437.73141094186,11.0308315557349,3.22684399451738,6.08160550525427,2.40069422078951,439.24384482533,-0.0445782293533314
"30","Ch7_MMR...31","BT_7","15",14.8174791666667,33.4,"98",2,412.731193870774,13.7852218752839,3.50855589998265,6.02279651875985,2.62359713976037,420.861291771422,-0.0631449298904703
"31","Ch8_MMR...32","BT_8","15",14.8477083333333,41.8,"98",2,396.587784937946,16.5773694104061,3.73289633953071,5.98289741616092,2.80803847670949,409.604315116598,-0.0749193905291587
"32","Ch1_MMR...33","BT_1","15",14.7841602564103,204.9,"190",1,608.899711281862,124.763550841654,5.32252205524485,6.41165357645094,4.82642035271366,688.528309319405,-0.00393199822934243
"33","Ch2_MMR...34","BT_2","15",14.6010384615385,117.5,"190",1,967.637609708431,113.697419140741,4.76643833358421,6.87485764704666,4.73354070164874,1060.04191965578,0.183469240393277
"34","Ch3_MMR...35","BT_3","15",14.8262011834319,209.8,"190",1,615.682330241438,129.170152884654,5.3461546959622,6.42273113285574,4.8611305498358,697.136375028544,0.00146394434124586
"35","Ch4_MMR...36","BT_4","15",14.8695384615385,159.9,"190",1,638.015850114209,102.018734433262,5.07454861983991,6.4583631264754,4.62515646733317,711.32647306925,0.0102151724031279
"36","Ch5_MMR...37","BT_5","15",14.4328516483516,207.2,"190",1,468.956098010953,97.1677035078695,5.33368451038533,6.15050915641226,4.57643838781545,530.621135762382,-0.117069254649665
"37","Ch6_MMR...38","BT_6","15",14.4732384615385,140.2,"190",1,649.445035136893,91.0521939261924,4.94306997460049,6.47611820610453,4.51143290172288,718.662823538128,0.0146713798552245
"38","Ch1_MMR...39","BT_1","15",14.7978221153846,172.2,"190",2,586.223537632378,100.947693180295,5.14865659199363,6.37370118037478,4.61460249338627,656.349687562552,-0.0247185166633916
"39","Ch2_MMR...40","BT_2","15",14.7159027777778,122.2,"190",2,501.044080024212,61.2275865789587,4.8056590467375,6.21669408129476,4.11459784905011,550.119621418854,-0.101396664062515
"40","Ch3_MMR...41","BT_3","15",14.794875,95.3,"190",2,765.283452098347,72.9315129849725,4.55702981066016,6.64024629081762,4.28952082249564,828.416536364503,0.0763949599309095
"41","Ch4_MMR...42","BT_4","15",14.7708125,124,"190",2,534.346141959753,66.2589216030094,4.82028156560504,6.28104383488262,4.19357012150552,587.172700491148,-0.0730879438498957
"42","Ch5_MMR...43","BT_5","15",14.5287276785714,221,"190",2,548.706866933799,121.26421759237,5.39816270151775,6.30756435890151,4.79797178143712,623.1446868737,-0.047264903065507
"43","Ch6_MMR...44","BT_6","15",14.5340267857143,176.8,"190",2,747.108629422341,132.08880568187,5.17501915020354,6.61621059547366,4.88347446669507,837.738323124881,0.0812545835965266
"44","Ch2_MMR...46","BT_2","20",19.9486485507246,7,"20",1,685.850863675654,4.80095604572958,1.94591014905531,6.53066020420139,1.56881507427456,593.864083645289,0.00294276035659458
"45","Ch3_MMR...47","BT_3","20",19.8932115942029,6.3,"20",1,534.165227385174,3.3652409325266,1.84054963339749,6.28070520568035,1.2134995600957,456.807893598685,-0.111010700111385
"46","Ch4_MMR...48","BT_4","20",19.7312391304348,3.8,"20",1,862.786039506023,3.27858695012289,1.33500106673234,6.76016673393211,1.18741252168231,695.10974236647,0.0713090754585122
"47","Ch5_MMR...49","BT_5","20",19.5294028985507,4.6,"20",1,764.588302929787,3.51710619347702,1.52605630349505,6.63933752285833,1.25763854737124,630.041091996185,0.028624575574089
"48","Ch6_MMR...50","BT_6","20",19.4996623188406,6.7,"20",1,832.730760051977,5.57929609234825,1.90210752639692,6.72471037269638,1.71906262011116,717.327095556162,0.0849729357433819
"49","Ch7_MMR...51","BT_7","20",19.5202956521739,4.9,"20",1,622.472925951546,3.05011733716258,1.58923520511658,6.43370013494572,1.11518006108017,516.772513513458,-0.0574448939644148
"50","Ch8_MMR...52","BT_8","20",19.5307297101449,6.8,"20",1,794.132743020749,5.40010265254109,1.91692261218206,6.67725062991945,1.68641796311938,685.275107302193,0.0651206563234537
"51","Ch1_MMR...53","BT_1","20",19.7881492753623,6.6,"20",2,685.864572610714,4.52670617923071,1.88706964903238,6.53068019221741,1.50999456226765,589.766848509984,-6.3943286083834e-05
"52","Ch2_MMR...54","BT_2","20",19.7761826086957,4.1,"20",2,806.863239310607,3.30813928117349,1.41098697371026,6.69315418589203,1.19638588062015,655.909960880434,0.0460999263185737
"53","Ch3_MMR...55","BT_3","20",19.7707637681159,4.9,"20",2,813.208672624315,3.98472249585914,1.58923520511658,6.70098774650833,1.38246767264278,675.119948583471,0.0586366408183276
