X,Ind,Treatment,TimePoint,Mass_Corrected,,,,,,,,,,,,,,
Ch1_MMR...1,BT_1,15,20,620.5157556,,,Ch1_MMR...17,BT_1,15,98,547.1975049,,,Ch1_MMR...33,BT_1,15,190,684.6857732
Ch2_MMR...2,BT_2,15,20,593.0776346,,,Ch2_MMR...18,BT_2,15,98,402.4942639,,,Ch2_MMR...34,BT_2,15,190,1054.126042
Ch3_MMR...3,BT_3,15,20,641.5551721,,,Ch3_MMR...19,BT_3,15,98,535.3336011,,,Ch3_MMR...35,BT_3,15,190,693.245799
Ch4_MMR...4,BT_4,15,20,612.0627398,,,Ch4_MMR...20,BT_4,15,98,474.3447616,,,Ch4_MMR...36,BT_4,15,190,707.356705
Ch5_MMR...5,BT_5,15,20,732.9947081,,,Ch5_MMR...21,BT_5,15,98,441.6159248,,,Ch5_MMR...37,BT_5,15,190,527.6598474
Ch6_MMR...6,BT_6,15,20,823.9827065,,,Ch6_MMR...22,BT_6,15,98,368.6683318,,,Ch6_MMR...38,BT_6,15,190,714.6521128
Ch7_MMR...7,BT_7,15,20,567.9011229,,,Ch7_MMR...23,BT_7,15,98,470.1085423,,,Ch1_MMR...39,BT_1,15,190,652.6867337
Ch8_MMR...8,BT_8,15,20,546.0068366,,,Ch8_MMR...24,BT_8,15,98,475.4920418,,,Ch2_MMR...40,BT_2,15,190,547.0495159
Ch1_MMR...9,BT_1,15,20,684.6556395,,,Ch2_MMR...26,BT_2,15,98,1028.902907,,,Ch3_MMR...41,BT_3,15,190,823.7933125
Ch2_MMR...10,BT_2,15,20,620.5604349,,,Ch3_MMR...27,BT_3,15,98,435.3590209,,,Ch4_MMR...42,BT_4,15,190,583.8958093
Ch3_MMR...11,BT_3,15,20,731.3139261,,,Ch4_MMR...28,BT_4,15,98,734.2599736,,,Ch5_MMR...43,BT_5,15,190,619.6670434
Ch4_MMR...12,BT_4,15,20,570.8502344,,,Ch5_MMR...29,BT_5,15,98,375.9822815,,,Ch6_MMR...44,BT_6,15,190,833.0630763
Ch5_MMR...13,BT_5,15,20,644.87606,,,Ch6_MMR...30,BT_6,15,98,436.7925145,,,,,,,
Ch6_MMR...14,BT_6,15,20,768.8920761,,,Ch7_MMR...31,BT_7,15,98,418.5125507,,,,,,,
Ch7_MMR...15,BT_7,15,20,462.3932552,,,Ch8_MMR...32,BT_8,15,98,407.3183969,,,,,,,
Ch8_MMR...16,BT_8,15,20,666.7121265,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Ch2_MMR...46,BT_2,20,20,600.7843572,,,Ch1_MMR...61,BT_1,20,98,513.886278,,,Ch1_MMR...77,BT_1,20,190,372.4789659
Ch3_MMR...47,BT_3,20,20,462.131057,,,Ch2_MMR...62,BT_2,20,98,601.0036797,,,Ch2_MMR...78,BT_2,20,190,812.5909739
Ch4_MMR...48,BT_4,20,20,703.2098274,,,Ch3_MMR...63,BT_3,20,98,449.7034531,,,Ch3_MMR...79,BT_3,20,190,800.4408793
Ch5_MMR...49,BT_5,20,20,637.3829347,,,Ch4_MMR...64,BT_4,20,98,434.7812537,,,Ch4_MMR...80,BT_4,20,190,575.7265525
Ch6_MMR...50,BT_6,20,20,725.6860784,,,Ch5_MMR...65,BT_5,20,98,515.2610209,,,Ch5_MMR...81,BT_5,20,190,668.2414813
Ch7_MMR...51,BT_7,20,20,522.7944422,,,Ch6_MMR...66,BT_6,20,98,525.6976907,,,Ch6_MMR...82,BT_6,20,190,765.0942816
Ch8_MMR...52,BT_8,20,20,693.2605897,,,Ch7_MMR...67,BT_7,20,98,484.5432771,,,Ch1_MMR...83,BT_1,20,190,577.8609337
Ch1_MMR...53,BT_1,20,20,596.6393771,,,Ch8_MMR...68,BT_8,20,98,452.4519299,,,Ch2_MMR...84,BT_2,20,190,571.02441
Ch2_MMR...54,BT_2,20,20,663.5532524,,,Ch1_MMR...69,BT_1,20,98,526.167475,,,Ch3_MMR...85,BT_3,20,190,647.9289604
Ch3_MMR...55,BT_3,20,20,682.9870933,,,Ch2_MMR...70,BT_2,20,98,459.3664942,,,Ch4_MMR...86,BT_4,20,190,624.2651948
Ch4_MMR...56,BT_4,20,20,657.039225,,,Ch3_MMR...71,BT_3,20,98,537.5134177,,,Ch5_MMR...87,BT_5,20,190,688.0489293
Ch5_MMR...57,BT_5,20,20,896.0268652,,,Ch4_MMR...72,BT_4,20,98,463.2481926,,,Ch6_MMR...88,BT_6,20,190,435.9681993
Ch6_MMR...58,BT_6,20,20,472.3897772,,,Ch5_MMR...73,BT_5,20,98,436.3310761,,,,,,,
Ch7_MMR...59,BT_7,20,20,294.2703727,,,Ch6_MMR...74,BT_6,20,98,461.5412798,,,,,,,
Ch8_MMR...60,BT_8,20,20,598.0436559,,,Ch7_MMR...75,BT_7,20,98,441.7491951,,,,,,,
,,,,,,,Ch8_MMR...76,BT_8,20,98,573.5609446,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,0.9544723,,,,,,,0.977771733,,,,,,,0.893126671
,,,,2,,,,,,,2,,,,,,,2
,,,,0.911017372,,,,,,,0.956037562,,,,,,,0.79767525
