Chamber.No	Ind	Mass	Volume	DO.unit	Temp	R2	BR	MR.abs	MR.mass		old	new	difference	% difference
CH1	BT_1	5.4	656.4	mg O2	15.19095	0.959457984	-14.87195429	0.694504369	128.6119202		156.5667747	136.1746763	-20.39209833	-14.97495635
CH1	BT_1	5.4	656.4	mg O2	15.1438	0.9247964	-11.41716761	0.610247355	113.0087694		139.4149009	122.890637	-16.52426396	-13.44631647
CH1	BT_1	5.4	656.4	mg O2	15.03711667	0.936901773	-1.476156334	0.952523995	176.3933325		166.6870438	146.0100383	-20.67700544	-14.16135882
CH1	BT_1	5.4	656.4	mg O2	14.91578333	0.939466902	0.859622002	0.858065587	158.9010346		119.4206459	99.56620388	-19.85444197	-19.94094502
CH1	BT_1	5.4	656.4	mg O2	14.94656667	0.980633492	1.106989096	0.936446798	173.4160737		214.4274632	198.4803858	-15.94707733	-8.03458602
CH1	BT_1	5.4	656.4	mg O2	15.0389	0.983314561	1.393992364	0.956690692	177.164943		257.2341795	230.9274742	-26.30670535	-11.39176074
CH1	BT_1	5.4	656.4	mg O2	15.12398333	0.980831342	1.723189313	0.944851092	174.9724245		198.5363959	172.5652084	-25.97118749	-15.05007164
CH1	BT_1	5.4	656.4	mg O2	15.2092	0.981561546	2.111455622	0.909104462	168.3526782		201.8944626	185.2367643	-16.65769834	-8.992652405
CH1	BT_1	5.4	656.4	mg O2	15.29401667	0.984324801	2.465674674	0.896030177	165.9315142					
CH1	BT_1	5.4	656.4	mg O2	15.36523333	0.983701336	2.617664781	0.9558691	177.0127962					
CH1	BT_1	5.4	656.4	mg O2	15.3676	0.906930824	5.064209143	0.538703838	99.75996996					
CH1	BT_1	5.4	656.4	mg O2	14.98456667	0.980728113	3.792116714	0.883426309	163.5974646					
CH1	BT_1	5.4	656.4	mg O2	15.07945	0.985031129	3.934395706	0.924503919	171.2044294					
CH1	BT_1	5.4	656.4	mg O2	15.16918333	0.985235884	4.40940059	0.886786458	164.2197145					
