Chamber.No	Ind	Mass	Volume	DO.unit	Temp	R2	BR	MR.abs	MR.mass					
CH1	BT_1	3.6	656.4	mg O2	15.35536667	0.957102535	4.960683651	0.571138861	158.6496835		168.8079518	132.720555	-36.08739681	-21.37778252
CH1	BT_1	3.6	656.4	mg O2	14.92435	0.943552741	5.302569244	0.518943153	144.1508757		179.8817785	155.704779	-24.17699947	-13.4404939
CH1	BT_1	3.6	656.4	mg O2	15.41346667	0.9161327	5.122462562	0.468468335	130.1300931		169.3501865	138.461629	-30.88855754	-18.23945882
CH1	BT_1	3.6	656.4	mg O2	15.04985	0.958851885	3.63744897	0.650099126	180.5830906		167.3875169	148.429671	-18.9578459	-11.32572264
CH1	BT_1	3.6	656.4	mg O2	14.78561667	0.968912759	1.818771241	0.714906034	198.5850094		176.7187517	160.130369	-16.58838272	-9.386883146
CH1	BT_1	3.6	656.4	mg O2	14.89176667	0.967593346	1.706388223	0.719481911	199.8560865		202.4426604	188.927708	-13.51495243	-6.675940929
CH1	BT_1	3.6	656.4	mg O2	15.00536667	0.96829961	1.584236847	0.729137044	202.5380677		176.0509017	159.939445	-16.11145669	-9.151589986
CH1	BT_1	3.6	656.4	mg O2	15.0967	0.910582172	1.774162816	0.441354503	122.5984731		155.3625624	142.195649	-13.16691342	-8.474958972
CH1	BT_1	3.6	656.4	mg O2	15.40515	0.911801239	-3.132453408	0.406988417	113.0523381					
CH1	BT_1	3.6	656.4	mg O2	14.93256667	0.921598582	-2.931122746	0.460540027	127.9277852					
CH1	BT_1	3.6	656.4	mg O2	14.84836667	0.978986841	-2.051677978	0.689786288	191.6073023					
CH1	BT_1	3.6	656.4	mg O2	14.93935	0.980812524	-2.150998158	0.694340446	192.8723461					
CH1	BT_1	3.6	656.4	mg O2	15.03848333	0.979878681	-2.295872863	0.685003368	190.2787134					
CH1	BT_1	3.6	656.4	mg O2	15.14443333	0.978470975	-2.329196017	0.708508635	196.8079541					
CH1	BT_1	3.6	656.4	mg O2	15.43218333	0.979067978	-2.669653364	0.707096603	196.4157229					
CH1	BT_1	3.6	656.4	mg O2	15.35198333	0.949780147	-4.923124361	0.407901851	113.3060696					
CH1	BT_1	3.6	656.4	mg O2	14.85745	0.962340487	-3.167111034	0.64798369	179.9954694					
CH1	BT_1	3.6	656.4	mg O2	15.31113333	0.956435892	-4.145449276	0.613270015	170.352782					
CH1	BT_1	3.6	656.4	mg O2	14.9988	0.970389446	-3.869191277	0.675530918	187.6474771					
CH1	BT_1	3.6	656.4	mg O2	15.02056667	0.980595711	-3.725076873	0.721661779	200.4616054					
CH1	BT_1	3.6	656.4	mg O2	15.11396667	0.978564128	-3.814168678	0.725907972	201.6411034					
CH1	BT_1	3.6	656.4	mg O2	15.31895	0.921628595	-7.773157063	0.411540807	114.3168908					
CH2	BT_2	5.5	659.2	mg O2	15.35536667	0.984970018	2.379882183	0.938184109	170.5789289					
CH2	BT_2	5.5	659.2	mg O2	14.92435	0.982875043	2.305281699	0.931015408	169.2755288					
CH2	BT_2	5.5	659.2	mg O2	15.04985	0.983782978	1.605487709	1.014338616	184.4252028					
CH2	BT_2	5.5	659.2	mg O2	15.18138333	0.972280116	1.458210809	0.752311939	136.7839889					
CH2	BT_2	5.5	659.2	mg O2	14.85401667	0.98723427	0.922835825	1.098266877	199.6848867					
CH2	BT_2	5.5	659.2	mg O2	14.93231667	0.987599527	0.836599497	1.105492888	200.998707					
CH2	BT_2	5.5	659.2	mg O2	15.27225	0.986072753	0.591014259	1.11306585	202.3756091					
CH2	BT_2	5.5	659.2	mg O2	14.89345	0.973533168	0.446900259	0.870649683	158.2999424					
CH2	BT_2	5.5	659.2	mg O2	14.89176667	0.985941299	0.193889069	1.082200727	196.7637685					
CH2	BT_2	5.5	659.2	mg O2	15.38406667	0.979584629	-1.223386646	0.872087422	158.5613494					
CH2	BT_2	5.5	659.2	mg O2	15.48265	0.984348355	-1.872118946	1.015789476	184.6889956					
CH2	BT_2	5.5	659.2	mg O2	15.03966667	0.979919589	-2.447128648	0.819297056	148.9631011					
CH2	BT_2	5.5	659.2	mg O2	15.10778333	0.99195038	-2.235617527	1.101438131	200.2614784					
CH2	BT_2	5.5	659.2	mg O2	15.19516667	0.99199796	-2.312011212	1.105801317	201.0547849					
CH2	BT_2	5.5	659.2	mg O2	15.40515	0.983669906	-3.359421195	0.852172931	154.9405328					
CH2	BT_2	5.5	659.2	mg O2	14.93256667	0.989380428	-2.891849757	1.017608704	185.0197643					
CH2	BT_2	5.5	659.2	mg O2	14.84836667	0.991703462	-2.77981193	1.090858057	198.3378286					
CH2	BT_2	5.5	659.2	mg O2	15.14443333	0.992649265	-3.04130999	1.091386	198.4338181					
CH2	BT_2	5.5	659.2	mg O2	15.24403333	0.992266969	-3.099486745	1.101543334	200.2806061					
CH2	BT_2	5.5	659.2	mg O2	15.35198333	0.984387786	-4.900817748	0.766822383	139.4222515					
CH2	BT_2	5.5	659.2	mg O2	15.31113333	0.986016785	-4.358021485	1.00923759	183.4977437					
CH2	BT_2	5.5	659.2	mg O2	14.9988	0.989535396	-4.070520799	1.100630843	200.1146988					
CH2	BT_2	5.5	659.2	mg O2	15.31895	0.986356051	-5.65956104	0.904845636	164.5173884					
CH3	BT_3	4.8	654	mg O2	15.35536667	0.972106213	3.64919893	0.724346264	150.9054717					
CH3	BT_3	4.8	654	mg O2	14.92435	0.972582877	3.825783651	0.664125298	138.3594371					
CH3	BT_3	4.8	654	mg O2	15.41346667	0.967423304	2.836959428	0.730960859	152.2835122					
CH3	BT_3	4.8	654	mg O2	15.04985	0.972977865	2.665929992	0.742157332	154.6161109					
CH3	BT_3	4.8	654	mg O2	15.18138333	0.959517172	2.33147099	0.596361162	124.2419087					
CH3	BT_3	4.8	654	mg O2	14.93231667	0.982883329	1.257495501	0.958408153	199.6683652					
CH3	BT_3	4.8	654	mg O2	14.89345	0.953514166	0.9065537	0.6683092	139.2310834					
CH3	BT_3	4.8	654	mg O2	15.21703333	0.982904673	-0.739298831	0.965296578	201.1034537					
CH3	BT_3	4.8	654	mg O2	15.30895	0.981174953	-0.880099383	0.928369173	193.4102444					
CH3	BT_3	4.8	654	mg O2	15.38406667	0.959790433	-1.660896569	0.620026904	129.1722716					
CH3	BT_3	4.8	654	mg O2	15.42708333	0.987167255	-1.970937528	0.944290402	196.727167					
CH3	BT_3	4.8	654	mg O2	15.10778333	0.989641532	-2.731746493	0.953639689	198.6749351					
CH3	BT_3	4.8	654	mg O2	15.28776667	0.989462156	-2.927418244	0.962983317	200.6215244					
CH3	BT_3	4.8	654	mg O2	15.40515	0.970998639	-4.672088896	0.659099823	137.3124631					
CH3	BT_3	4.8	654	mg O2	14.93256667	0.969515994	-4.163313229	0.761450148	158.6354475					
CH3	BT_3	4.8	654	mg O2	14.84836667	0.986999877	-3.425016855	0.949684836	197.8510075					
CH3	BT_3	4.8	654	mg O2	14.93935	0.990203547	-3.480311167	0.96528221	201.1004604					
CH3	BT_3	4.8	654	mg O2	15.03848333	0.989239482	-3.618644359	0.958693484	199.7278091					
CH3	BT_3	4.8	654	mg O2	15.35198333	0.979961623	-6.218209385	0.65861198	137.2108293					
CH3	BT_3	4.8	654	mg O2	15.31113333	0.974619363	-5.92535431	0.816300569	170.0626185					
CH3	BT_3	4.8	654	mg O2	14.9988	0.984479944	-5.583569587	0.882671075	183.8898073					
CH3	BT_3	4.8	654	mg O2	15.31895	0.973818676	-8.694502967	0.6597009	137.4376875					
CH3	BT_3	4.8	654	mg O2	14.85668333	0.98400796	-6.170069865	0.925491238	192.8106747					
CH4	BT_4	6.5	658.6	mg O2	14.92435	0.977186859	1.720117922	1.063385346	163.5977456					
CH4	BT_4	6.5	658.6	mg O2	15.41346667	0.970765458	1.430723263	0.972982862	149.6896711					
CH4	BT_4	6.5	658.6	mg O2	15.04985	0.966981946	1.402342455	0.929838164	143.0520252					
CH4	BT_4	6.5	658.6	mg O2	15.18138333	0.959495356	0.939853302	0.826156271	127.1009648					
CH4	BT_4	6.5	658.6	mg O2	14.85401667	0.97531117	0.589793701	1.169835483	179.9746896					
CH4	BT_4	6.5	658.6	mg O2	14.93231667	0.976757105	0.507207198	1.185339388	182.3599058					
CH4	BT_4	6.5	658.6	mg O2	15.16381667	0.976894921	0.353884535	1.195925708	183.9885705					
CH4	BT_4	6.5	658.6	mg O2	15.39123333	0.966381315	0.16213745	0.956831656	147.2048701					
CH4	BT_4	6.5	658.6	mg O2	14.89345	0.954947039	0.06887327	0.952002388	146.4619058					
CH4	BT_4	6.5	658.6	mg O2	14.90845	0.963602287	-1.517752399	0.976953076	150.3004732					
CH4	BT_4	6.5	658.6	mg O2	15.06118333	0.982004181	-1.483683048	1.183274116	182.0421717					
CH4	BT_4	6.5	658.6	mg O2	14.83428333	0.985011319	-2.07637558	1.203534558	185.1591628					
CH4	BT_4	6.5	658.6	mg O2	14.93018333	0.984660847	-2.228411534	1.164277738	179.1196519					
CH4	BT_4	6.5	658.6	mg O2	15.02266667	0.986052151	-2.214872648	1.2126712	186.5648					
CH4	BT_4	6.5	658.6	mg O2	15.10778333	0.98765539	-2.376542598	1.170638212	180.0981864					
CH4	BT_4	6.5	658.6	mg O2	15.40515	0.977487688	-2.960497313	1.069983021	164.6127724					
CH4	BT_4	6.5	658.6	mg O2	15.35198333	0.976856978	-3.765731576	1.070410881	164.678597					
CH4	BT_4	6.5	658.6	mg O2	15.30951667	0.984546798	-4.236564578	1.220833885	187.8205977					
CH4	BT_4	6.5	658.6	mg O2	15.31895	0.972846899	-5.818866208	0.935002983	143.8466128					
CH4	BT_4	6.5	658.6	mg O2	14.85668333	0.979181906	-4.958391776	1.10734395	170.3606077					
CH4	BT_4	6.5	658.6	mg O2	14.87895	0.981317268	-4.830998117	1.154646585	177.6379361					
CH4	BT_4	6.5	658.6	mg O2	14.98041667	0.980664884	-5.023723413	1.131160625	174.0247115					
CH4	BT_4	6.5	658.6	mg O2	15.19161667	0.981190233	-5.011527353	1.171405683	180.2162589					
CH5	BT_5	8.2	657.6	mg O2	14.65306667	0.993404491	0.826355425	1.422294296	173.4505239					
CH5	BT_5	8.2	657.6	mg O2	14.55565	0.9802293	0.247256265	1.577255138	192.3481876					
CH5	BT_5	8.2	657.6	mg O2	15.16986667	0.925876751	-0.12915328	1.366846318	166.6885754					
CH5	BT_5	8.2	657.6	mg O2	14.66938333	0.982032376	-0.21685763	1.339057845	163.2997372					
CH5	BT_5	8.2	657.6	mg O2	14.79045	0.987927574	-0.27502061	1.470133553	179.2845796					
CH5	BT_5	8.2	657.6	mg O2	14.91891667	0.989279231	-0.345710333	1.499653868	182.884618					
CH5	BT_5	8.2	657.6	mg O2	15.00548333	0.964550926	-0.668355986	1.290842497	157.4198167					
CH5	BT_5	8.2	657.6	mg O2	14.5871	0.990146534	-0.671774224	1.454335814	177.3580261					
CH5	BT_5	8.2	657.6	mg O2	14.66453333	0.977323778	-1.492656156	1.199852203	146.3234394					
CH5	BT_5	8.2	657.6	mg O2	14.52458333	0.991730441	-1.240448582	1.532812532	186.9283576					
CH5	BT_5	8.2	657.6	mg O2	14.64048333	0.992362231	-1.339302684	1.506905603	183.768976					
CH5	BT_5	8.2	657.6	mg O2	14.74901667	0.994569669	-1.440865486	1.481964589	180.7273889					
CH5	BT_5	8.2	657.6	mg O2	14.85375	0.992974093	-1.532704733	1.469581993	179.2173162					
CH5	BT_5	8.2	657.6	mg O2	14.70248333	0.974601708	-2.81333432	1.349718236	164.5997849					
CH5	BT_5	8.2	657.6	mg O2	14.78373333	0.984777081	-3.83601322	1.276119575	155.6243384					
CH5	BT_5	8.2	657.6	mg O2	14.56455	0.99368476	-3.255228136	1.567361904	191.1416956					
CH5	BT_5	8.2	657.6	mg O2	14.66275	0.995374739	-3.324207924	1.571126747	191.6008229					
CH5	BT_5	8.2	657.6	mg O2	14.74858333	0.996858125	-3.436006081	1.555804244	189.7322248					
CH5	BT_5	8.2	657.6	mg O2	14.74975	0.979174266	-5.517473184	1.118554429	136.4090767					
CH5	BT_5	8.2	657.6	mg O2	14.58383333	0.993676059	-3.959981669	1.565270487	190.8866447					
CH5	BT_5	8.2	657.6	mg O2	14.66955	0.994531899	-4.023486739	1.57083781	191.5655866					
CH5	BT_5	8.2	657.6	mg O2	14.97798333	0.995638376	-4.320709597	1.549135396	188.9189508					
CH5	BT_5	8.2	657.6	mg O2	15.17416667	0.983056117	-4.427218771	1.593691497	194.3526216					
CH6	BT_6	5	659.2	mg O2	14.65306667	0.962243497	0.79592274	1.025522762	205.1045524					
CH6	BT_6	5	659.2	mg O2	14.85201667	0.963138611	0.524730774	1.036473078	207.2946157					
CH6	BT_6	5	659.2	mg O2	14.66938333	0.908386124	-1.180675305	0.832568445	166.5136891					
CH6	BT_6	5	659.2	mg O2	14.79045	0.935454169	-1.120839322	1.001019848	200.2039696					
CH6	BT_6	5	659.2	mg O2	14.5871	0.948338525	-1.890693074	0.96985113	193.970226					
CH6	BT_6	5	659.2	mg O2	14.68571667	0.947751095	-1.869712794	1.055733048	211.1466096					
CH6	BT_6	5	659.2	mg O2	14.79195	0.949139486	-2.13081686	0.994896249	198.9792499					
CH6	BT_6	5	659.2	mg O2	14.74901667	0.959369557	-3.131106616	1.047382985	209.4765969					
CH6	BT_6	5	659.2	mg O2	14.64958333	0.966397569	-4.063631725	1.061746928	212.3493855					
