"Chamber.No"	"Ind"	"Mass"	"Volume"	"DO.unit"	"Temp"	"R2"	"BR"	"MR.abs"	"MR.mass"
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.9800666666667	0.993477703966407	-3.09746401438882	1.40037335338664	212.177780816157
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.9570833333333	0.995341011544613	-2.88683070412128	1.38386278855368	209.676180083891
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.9373666666667	0.994396036109433	-2.71972000752515	1.38482610188751	209.822136649622
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.9303833333333	0.994012405483899	-2.65945396644171	1.37363531665075	208.126563128901
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.92015	0.994654679633328	-2.45700503236348	1.3937026120347	211.1670624295
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.91725	0.994859397753202	-2.35263874776614	1.40700237952361	213.182178715698
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.86605	0.995982909772986	-1.50697214490208	1.37721270410643	208.668591531278
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.8621333333333	0.995017135116845	-1.33048921843292	1.3924709895824	210.98045296703
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.7634666666667	0.995929737779873	-0.610949104308391	1.40823739812028	213.369302745497
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.71985	0.995560756189102	-0.461083368415114	1.39197149736127	210.904772327465
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.5193333333333	0.994981821688759	0.0896186098371512	1.3162677583394	199.434508839302
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.8941166666667	0.994400672149233	0.627858114005243	1.38488485370568	209.831038440255
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.8512166666667	0.994509271025064	0.697915650845821	1.39884722498975	211.946549240871
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.7504	0.99388889563849	0.881126642027244	1.34922523294018	204.428065596998
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.69485	0.993700551896532	0.976336227482815	1.32615632960177	200.932777212389
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.6423666666667	0.993545835174874	1.08780009029467	1.28725363621005	195.038429728796
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.89425	0.993379454276844	1.52734209895868	1.40075246120795	212.235221395143
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.77585	0.992511510764317	1.73646011796852	1.35182904198705	204.82258211925
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.7163833333333	0.9926161854379	1.79412704838595	1.36680032603438	207.090958490057
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.6579666666667	0.991015461132776	1.90964979494395	1.33814991337746	202.749986875373
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.5545	0.986579975711139	2.02494743557224	1.36511319586696	206.835332707115
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.4605666666667	0.993462602979869	2.13551922312101	1.39207928629531	210.921103984137
"CH1"	"BT_1"	6.6	656.4	"mg O2"	19.8618333333333	0.992704580100536	2.68870147313227	1.37337428470121	208.087012833517
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.6135666666667	1	-12409331464635.7	0.0084751977892535	2.06712141201305
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.5895666666667	1	-11307508926009.9	0.00772268634493856	1.88358203535087
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.5514833333333	1	-10205686387384	0.00697017490062358	1.70004265868868
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.5193333333333	1	-9103863848757.53	0.00621766345630816	1.51650328202638
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.51765	1	-8002041310135.19	0.00546515201199558	1.33296390536478
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.7269	1	-6900218771508.95	0.00471264056768035	1.14942452870252
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.9940333333333	1	-5798396232880.89	0.00396012912336387	0.965885152039968
"CH2"	"BT_2"	4.1	659.2	"mg O2"	20.0404166666667	1	-4696573694259.97	0.00320761767905226	0.782345775378601
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.9952666666667	1	-3594751155631.74	0.00245510623473567	0.598806398716017
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.9401666666667	1	-2492928617005.76	0.0017025947904206	0.415267022053806
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.8941166666667	1	-1391106078382.7	0.000950083346107539	0.231727645392083
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.8512166666667	1	-289283539751.828	0.000197571901789139	0.0481882687290584
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.8016166666667	1	812538998874.359	-0.000554939542526062	-0.135351107933186
"CH2"	"BT_2"	4.1	659.2	"mg O2"	19.7504	1	1914361537500.29	-0.00130745098684109	-0.318890484595388
