"","TAGNUMBER","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME","condition4","Days_in_Exp"
"1","00186D163A",151,"WEIGHT_1",2.1,"LENGTH_1",57,"T1",2021-07-29,"Day_in_Exp_T1",0
"2","00186D163A",151,"WEIGHT_2",3.9,"LENGTH_2",71,"T2",2021-08-30,"Day_in_Exp_T2",20
"3","00186D163A",151,"WEIGHT_3",9.3,"LENGTH_3",94,"T3",2021-09-29,"Day_in_Exp_T3",62
"4","00186D163A",151,"WEIGHT_4",16.7,"LENGTH_4",113,"T4",2021-11-04,"Day_in_Exp_T4",98
"5","00186D163A",151,"WEIGHT_5",30.3,"LENGTH_5",140,"T5",2021-12-09,"Day_in_Exp_T5",133
"6","00186D163A",151,"WEIGHT_6",46.8,"LENGTH_6",162,"T6",2022-01-06,"Day_in_Exp_T6",161
"7","00186D163A",151,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"8","00186D163A",151,"WEIGHT_8",141.4,"LENGTH_8",225,"T8",2022-03-30,"Day_in_Exp_T8",244
"9","00186D163B",201,"WEIGHT_1",2.6,"LENGTH_1",61,"T1",2021-07-29,"Day_in_Exp_T1",0
"10","00186D163B",201,"WEIGHT_2",5.9,"LENGTH_2",79,"T2",2021-08-30,"Day_in_Exp_T2",20
"11","00186D163B",201,"WEIGHT_3",7,"LENGTH_3",85,"T3",2021-09-29,"Day_in_Exp_T3",62
"12","00186D163B",201,"WEIGHT_4",10.9,"LENGTH_4",99,"T4",2021-11-04,"Day_in_Exp_T4",98
"13","00186D163B",201,"WEIGHT_5",17.8,"LENGTH_5",119,"T5",2021-12-09,"Day_in_Exp_T5",133
"14","00186D163B",201,"WEIGHT_6",27.9,"LENGTH_6",134,"T6",2022-01-06,"Day_in_Exp_T6",161
"15","00186D163B",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"16","00186D163B",201,"WEIGHT_8",56.6,"LENGTH_8",166,"T8",2022-03-30,"Day_in_Exp_T8",244
"17","00186D163C",152,"WEIGHT_1",3.9,"LENGTH_1",69,"T1",2021-07-29,"Day_in_Exp_T1",0
"18","00186D163C",152,"WEIGHT_2",8.3,"LENGTH_2",91,"T2",2021-08-21,"Day_in_Exp_T2",20
"19","00186D163C",152,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"20","00186D163C",152,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"21","00186D163C",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"22","00186D163C",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"23","00186D163C",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"24","00186D163C",152,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"25","00186D163D",201,"WEIGHT_1",2.8,"LENGTH_1",63,"T1",2021-07-29,"Day_in_Exp_T1",0
"26","00186D163D",201,"WEIGHT_2",5,"LENGTH_2",76,"T2",2021-08-30,"Day_in_Exp_T2",20
"27","00186D163D",201,"WEIGHT_3",5.7,"LENGTH_3",80,"T3",2021-09-29,"Day_in_Exp_T3",62
"28","00186D163D",201,"WEIGHT_4",12,"LENGTH_4",100,"T4",2021-11-04,"Day_in_Exp_T4",98
"29","00186D163D",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"30","00186D163D",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"31","00186D163D",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"32","00186D163D",201,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"33","00186D163E",152,"WEIGHT_1",1.9,"LENGTH_1",56,"T1",2021-07-29,"Day_in_Exp_T1",0
"34","00186D163E",152,"WEIGHT_2",4,"LENGTH_2",69,"T2",2021-08-24,"Day_in_Exp_T2",20
"35","00186D163E",152,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"36","00186D163E",152,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"37","00186D163E",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"38","00186D163E",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"39","00186D163E",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"40","00186D163E",152,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"41","00186D163F",151,"WEIGHT_1",3.9,"LENGTH_1",69,"T1",2021-07-29,"Day_in_Exp_T1",0
"42","00186D163F",151,"WEIGHT_2",12.4,"LENGTH_2",103,"T2",2021-08-30,"Day_in_Exp_T2",20
"43","00186D163F",151,"WEIGHT_3",31,"LENGTH_3",140,"T3",2021-09-29,"Day_in_Exp_T3",62
"44","00186D163F",151,"WEIGHT_4",73,"LENGTH_4",180,"T4",2021-11-04,"Day_in_Exp_T4",98
"45","00186D163F",151,"WEIGHT_5",129.1,"LENGTH_5",219,"T5",2021-12-09,"Day_in_Exp_T5",133
"46","00186D163F",151,"WEIGHT_6",167.8,"LENGTH_6",245,"T6",2022-01-06,"Day_in_Exp_T6",161
"47","00186D163F",151,"WEIGHT_7",197.2,"LENGTH_7",256,"T7",2022-02-04,"Day_in_Exp_T7",190
"48","00186D163F",151,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"49","00186D1640",202,"WEIGHT_1",2.7,"LENGTH_1",64,"T1",2021-07-29,"Day_in_Exp_T1",0
"50","00186D1640",202,"WEIGHT_2",9.7,"LENGTH_2",95,"T2",2021-08-30,"Day_in_Exp_T2",20
"51","00186D1640",202,"WEIGHT_3",16.6,"LENGTH_3",115,"T3",2021-09-29,"Day_in_Exp_T3",62
"52","00186D1640",202,"WEIGHT_4",44.2,"LENGTH_4",151,"T4",2021-11-04,"Day_in_Exp_T4",98
"53","00186D1640",202,"WEIGHT_5",87.7,"LENGTH_5",190,"T5",2021-12-09,"Day_in_Exp_T5",133
"54","00186D1640",202,"WEIGHT_6",114.9,"LENGTH_6",209,"T6",2022-01-06,"Day_in_Exp_T6",161
"55","00186D1640",202,"WEIGHT_7",107.7,"LENGTH_7",203,"T7",2022-02-04,"Day_in_Exp_T7",190
"56","00186D1640",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"57","00186D1641",202,"WEIGHT_1",3.9,"LENGTH_1",70,"T1",2021-07-29,"Day_in_Exp_T1",0
"58","00186D1641",202,"WEIGHT_2",8,"LENGTH_2",89,"T2",2021-08-30,"Day_in_Exp_T2",20
"59","00186D1641",202,"WEIGHT_3",8.7,"LENGTH_3",94,"T3",2021-09-29,"Day_in_Exp_T3",62
"60","00186D1641",202,"WEIGHT_4",18,"LENGTH_4",118,"T4",2021-11-04,"Day_in_Exp_T4",98
"61","00186D1641",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"62","00186D1641",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"63","00186D1641",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"64","00186D1641",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"65","00186D1642",202,"WEIGHT_1",2.7,"LENGTH_1",63,"T1",2021-07-29,"Day_in_Exp_T1",0
"66","00186D1642",202,"WEIGHT_2",5.3,"LENGTH_2",76,"T2",2021-08-28,"Day_in_Exp_T2",20
"67","00186D1642",202,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA,"Day_in_Exp_T3",NA
"68","00186D1642",202,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA,"Day_in_Exp_T4",NA
"69","00186D1642",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"70","00186D1642",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"71","00186D1642",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"72","00186D1642",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"73","00186D1643",152,"WEIGHT_1",2.2,"LENGTH_1",60,"T1",2021-07-29,"Day_in_Exp_T1",0
"74","00186D1643",152,"WEIGHT_2",5.7,"LENGTH_2",81,"T2",2021-08-30,"Day_in_Exp_T2",20
"75","00186D1643",152,"WEIGHT_3",13.3,"LENGTH_3",105,"T3",2021-09-29,"Day_in_Exp_T3",62
"76","00186D1643",152,"WEIGHT_4",25.2,"LENGTH_4",130,"T4",2021-11-04,"Day_in_Exp_T4",98
"77","00186D1643",152,"WEIGHT_5",49.6,"LENGTH_5",162,"T5",2021-12-09,"Day_in_Exp_T5",133
"78","00186D1643",152,"WEIGHT_6",73.9,"LENGTH_6",187,"T6",2022-01-06,"Day_in_Exp_T6",161
"79","00186D1643",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"80","00186D1643",152,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"81","00186D1644",152,"WEIGHT_1",1.6,"LENGTH_1",55,"T1",2021-07-29,"Day_in_Exp_T1",0
"82","00186D1644",152,"WEIGHT_2",3.8,"LENGTH_2",71,"T2",2021-08-30,"Day_in_Exp_T2",20
"83","00186D1644",152,"WEIGHT_3",9.5,"LENGTH_3",97,"T3",2021-09-29,"Day_in_Exp_T3",62
"84","00186D1644",152,"WEIGHT_4",21.9,"LENGTH_4",125,"T4",2021-11-04,"Day_in_Exp_T4",98
"85","00186D1644",152,"WEIGHT_5",41.3,"LENGTH_5",154,"T5",2021-12-09,"Day_in_Exp_T5",133
"86","00186D1644",152,"WEIGHT_6",63.4,"LENGTH_6",175,"T6",2022-01-06,"Day_in_Exp_T6",161
"87","00186D1644",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"88","00186D1644",152,"WEIGHT_8",145.6,"LENGTH_8",225,"T8",2022-03-30,"Day_in_Exp_T8",244
"89","00186D1645",202,"WEIGHT_1",2.6,"LENGTH_1",64,"T1",2021-07-29,"Day_in_Exp_T1",0
"90","00186D1645",202,"WEIGHT_2",6.9,"LENGTH_2",81,"T2",2021-08-30,"Day_in_Exp_T2",20
"91","00186D1645",202,"WEIGHT_3",6.3,"LENGTH_3",86,"T3",2021-09-29,"Day_in_Exp_T3",62
"92","00186D1645",202,"WEIGHT_4",9.1,"LENGTH_4",91,"T4",2021-11-04,"Day_in_Exp_T4",98
"93","00186D1645",202,"WEIGHT_5",15.6,"LENGTH_5",110,"T5",2021-12-09,"Day_in_Exp_T5",133
"94","00186D1645",202,"WEIGHT_6",15.2,"LENGTH_6",109,"T6",2022-01-06,"Day_in_Exp_T6",161
"95","00186D1645",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"96","00186D1645",202,"WEIGHT_8",40.9,"LENGTH_8",155,"T8",2022-03-30,"Day_in_Exp_T8",244
"97","00186D1646",201,"WEIGHT_1",2.9,"LENGTH_1",65,"T1",2021-07-29,"Day_in_Exp_T1",0
"98","00186D1646",201,"WEIGHT_2",6.8,"LENGTH_2",82,"T2",2021-08-30,"Day_in_Exp_T2",20
"99","00186D1646",201,"WEIGHT_3",10.2,"LENGTH_3",96,"T3",2021-09-29,"Day_in_Exp_T3",62
"100","00186D1646",201,"WEIGHT_4",18.1,"LENGTH_4",115,"T4",2021-11-04,"Day_in_Exp_T4",98
"101","00186D1646",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"102","00186D1646",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"103","00186D1646",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"104","00186D1646",201,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"105","00186D1647",202,"WEIGHT_1",1.8,"LENGTH_1",57,"T1",2021-07-29,"Day_in_Exp_T1",0
"106","00186D1647",202,"WEIGHT_2",3.5,"LENGTH_2",69,"T2",2021-08-30,"Day_in_Exp_T2",20
"107","00186D1647",202,"WEIGHT_3",4.6,"LENGTH_3",76,"T3",2021-09-29,"Day_in_Exp_T3",62
"108","00186D1647",202,"WEIGHT_4",7.3,"LENGTH_4",85,"T4",2021-11-04,"Day_in_Exp_T4",98
"109","00186D1647",202,"WEIGHT_5",11.9,"LENGTH_5",104,"T5",2021-12-09,"Day_in_Exp_T5",133
"110","00186D1647",202,"WEIGHT_6",17.2,"LENGTH_6",116,"T6",2022-01-06,"Day_in_Exp_T6",161
"111","00186D1647",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"112","00186D1647",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
"113","00186D1648",202,"WEIGHT_1",2.3,"LENGTH_1",60,"T1",2021-07-29,"Day_in_Exp_T1",0
"114","00186D1648",202,"WEIGHT_2",3.9,"LENGTH_2",70,"T2",2021-08-30,"Day_in_Exp_T2",20
"115","00186D1648",202,"WEIGHT_3",3.7,"LENGTH_3",73,"T3",2021-09-29,"Day_in_Exp_T3",62
"116","00186D1648",202,"WEIGHT_4",10,"LENGTH_4",95,"T4",2021-11-04,"Day_in_Exp_T4",98
"117","00186D1648",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA,"Day_in_Exp_T5",NA
"118","00186D1648",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA,"Day_in_Exp_T6",NA
"119","00186D1648",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA,"Day_in_Exp_T7",NA
"120","00186D1648",202,"WEIGHT_8",NA,"LENGTH_8",NA,"T8",NA,"Day_in_Exp_T8",NA
