"","X","TAGNUMBER","tank","condition1","WEIGHT","condition2","LENGTH","time_step","TIME","condition4","Days_in_Exp","ConditionFactor","temp","rdate","ConditionFactor_relative","residuals"
"1",1,"00186D163A","151","WEIGHT_1",2.1,"LENGTH_1",57,"T1","2021-07-29","Day_in_Exp_T1",0,1.13395214721939,"15",2021-07-29,0.978014660605515,0.0485328551597736
"2",2,"00186D163A","151","WEIGHT_2",3.9,"LENGTH_2",71,"T2","2021-08-30","Day_in_Exp_T2",20,1.08965636708567,"15",2021-08-30,0.922428263105811,0.00487249438267678
"3",3,"00186D163A","151","WEIGHT_3",9.3,"LENGTH_3",94,"T3","2021-09-29","Day_in_Exp_T3",62,1.11969409475742,"15",2021-09-29,0.925515124366517,0.00469802028399735
"4",4,"00186D163A","151","WEIGHT_4",16.7,"LENGTH_4",113,"T4","2021-11-04","Day_in_Exp_T4",98,1.15739377100375,"15",2021-11-04,0.941823392476435,0.0162848692943706
"5",5,"00186D163A","151","WEIGHT_5",30.3,"LENGTH_5",140,"T5","2021-12-09","Day_in_Exp_T5",133,1.10422740524781,"15",2021-12-09,0.882343393811372,-0.0455717984709499
"6",6,"00186D163A","151","WEIGHT_6",46.8,"LENGTH_6",162,"T6","2022-01-06","Day_in_Exp_T6",161,1.10078070754797,"15",2022-01-06,0.86874443020928,-0.0492299588501615
"8",8,"00186D163A","151","WEIGHT_8",141.4,"LENGTH_8",225,"T8","2022-03-30","Day_in_Exp_T8",244,1.24137174211248,"15",2022-03-30,0.95272232279036,0.047182093556242
"9",9,"00186D163B","201","WEIGHT_1",2.6,"LENGTH_1",61,"T1","2021-07-29","Day_in_Exp_T1",0,1.14547032571008,"20",2021-07-29,0.982269834254951,0.0692448247768612
"10",10,"00186D163B","201","WEIGHT_2",5.9,"LENGTH_2",79,"T2","2021-08-30","Day_in_Exp_T2",20,1.19665989911549,"20",2021-08-30,1.0038583482603,0.0369171214093428
"11",11,"00186D163B","201","WEIGHT_3",7,"LENGTH_3",85,"T3","2021-09-29","Day_in_Exp_T3",62,1.1398330958681,"20",2021-09-29,0.950256073799033,0.0370030315576068
"12",12,"00186D163B","201","WEIGHT_4",10.9,"LENGTH_4",99,"T4","2021-11-04","Day_in_Exp_T4",98,1.12336506581992,"20",2021-11-04,0.924468084591702,-0.0501691527007471
"13",13,"00186D163B","201","WEIGHT_5",17.8,"LENGTH_5",119,"T5","2021-12-09","Day_in_Exp_T5",133,1.05628014923221,"20",2021-12-09,0.855771120594687,-0.103286264438803
"14",14,"00186D163B","201","WEIGHT_6",27.9,"LENGTH_6",134,"T6","2022-01-06","Day_in_Exp_T6",161,1.15955087560637,"20",2022-01-06,0.930006320941615,-0.018284299344053
"16",16,"00186D163B","201","WEIGHT_8",56.6,"LENGTH_8",166,"T8","2022-03-30","Day_in_Exp_T8",244,1.23734887291946,"20",2022-03-30,0.9745025493328,0.0329649166147181
"17",17,"00186D163C","152","WEIGHT_1",3.9,"LENGTH_1",69,"T1","2021-07-29","Day_in_Exp_T1",0,1.18718208633553,"15",2021-07-29,1.00743065564678,0.0685085259074499
"18",18,"00186D163C","152","WEIGHT_2",8.3,"LENGTH_2",91,"T2","2021-08-21","Day_in_Exp_T2",20,1.10142242734925,"15",2021-08-21,0.91292562407856,-0.0140704689381586
"25",25,"00186D163D","201","WEIGHT_1",2.8,"LENGTH_1",63,"T1","2021-07-29","Day_in_Exp_T1",0,1.11978947957784,"20",2021-07-29,0.957618298834852,0.0354130490077429
"26",26,"00186D163D","201","WEIGHT_2",5,"LENGTH_2",76,"T2","2021-08-30","Day_in_Exp_T2",20,1.1390144335909,"20",2021-08-30,0.958649990167346,-0.0174714770326301
"27",27,"00186D163D","201","WEIGHT_3",5.7,"LENGTH_3",80,"T3","2021-09-29","Day_in_Exp_T3",62,1.11328125,"20",2021-09-29,0.932915364767052,0.0104820821766067
"28",28,"00186D163D","201","WEIGHT_4",12,"LENGTH_4",100,"T4","2021-11-04","Day_in_Exp_T4",98,1.2,"20",2021-11-04,0.986691179936485,0.00287370229501704
"33",33,"00186D163E","152","WEIGHT_1",1.9,"LENGTH_1",56,"T1","2021-07-29","Day_in_Exp_T1",0,1.08190597667638,"15",2021-07-29,0.934530624268352,-0.0140115960058526
"34",34,"00186D163E","152","WEIGHT_2",4,"LENGTH_2",69,"T2","2021-08-24","Day_in_Exp_T2",20,1.21762265265183,"15",2021-08-24,1.03326221091977,0.0966460273681724
"41",41,"00186D163F","151","WEIGHT_1",3.9,"LENGTH_1",69,"T1","2021-07-29","Day_in_Exp_T1",0,1.18718208633553,"15",2021-07-29,1.00743065564678,0.0702498356905701
"42",42,"00186D163F","151","WEIGHT_2",12.4,"LENGTH_2",103,"T2","2021-08-30","Day_in_Exp_T2",20,1.13477565759792,"15",2021-08-30,0.930719572443127,0.00546478920952853
"43",43,"00186D163F","151","WEIGHT_3",31,"LENGTH_3",140,"T3","2021-09-29","Day_in_Exp_T3",62,1.12973760932945,"15",2021-09-29,0.902727564625496,-0.0257885539674879
"44",44,"00186D163F","151","WEIGHT_4",73,"LENGTH_4",180,"T4","2021-11-04","Day_in_Exp_T4",98,1.2517146776406,"15",2021-11-04,0.979055207834977,0.0458176701424486
"45",45,"00186D163F","151","WEIGHT_5",129.1,"LENGTH_5",219,"T5","2021-12-09","Day_in_Exp_T5",133,1.2291189026396,"15",2021-12-09,0.945488275992804,0.00987406920001721
