"","Well ID","fish","Cortisol","Plate","Date","Tx","tank","BleedTime","TimePoint"
"1",3,1,0.641,5,"2021-08-25","15","15-2","0","20"
"2",34,2,2.08,2,"2021-08-25","15","15-2","0","20"
"3",7,3,3.574,1,"2021-08-25","15","15-2","0","20"
"4",10,4,2.608,4,"2021-08-25","15","15-2","0","20"
"5",28,5,6.24,1,"2021-08-25","15","15-2","0","20"
"6",6,6,2.586,3,"2021-08-25","15","15-2","0","20"
"7",22,7,2.787,2,"2021-08-25","15","15-2","0","20"
"8",15,9,2.936,1,"2021-08-25","15","15-1","0","20"
"9",26,10,2.256,4,"2021-08-25","15","15-1","0","20"
"10",23,11,1.16,4,"2021-08-25","15","15-1","0","20"
"11",29,12,3.607,3,"2021-08-25","15","15-1","0","20"
"12",34,13,4.324,1,"2021-08-25","15","15-1","0","20"
"13",9,15,3.908,4,"2021-08-25","15","15-1","0","20"
"14",13,16,2.987,4,"2021-08-25","15","15-1","0","20"
"15",18,17,2.664,1,"2021-08-25","20","20-1","0","20"
"16",33,18,6.085,3,"2021-08-25","20","20-1","0","20"
"17",25,19,5.187,4,"2021-08-25","20","20-1","0","20"
"18",26,20,4.314,1,"2021-08-25","20","20-1","0","20"
"19",32,21,4.85,1,"2021-08-25","20","20-1","0.23958333333333334","20"
"20",10,22,2.378,2,"2021-08-25","20","20-1","0.25","20"
"21",5,23,5.549,4,"2021-08-25","20","20-1","0.25","20"
"22",30,24,4.777,4,"2021-08-25","20","20-1","0.25","20"
"23",7,25,2.921,4,"2021-08-25","20","20-2","0","20"
"24",24,26,5.791,2,"2021-08-25","20","20-2","0","20"
"25",8,27,6.446,2,"2021-08-25","20","20-2","0","20"
"26",19,28,5.748,3,"2021-08-25","20","20-2","0","20"
"27",20,29,4.818,3,"2021-08-25","20","20-2","0","20"
"28",33,30,8.317,1,"2021-08-25","20","20-2","0","20"
"29",2,31,3.866,1,"2021-08-25","20","20-2","0","20"
"30",2,32,3.712,3,"2021-08-25","20","20-2","0.25","20"
"31",11,49,32.05,4,"2021-11-09","15","15-1","0","98"
"32",27,50,64.706,4,"2021-11-09","15","15-1","0","98"
"33",16,51,60.607,3,"2021-11-09","15","15-1","0","98"
"34",26,52,14.141,2,"2021-11-09","15","15-1","0","98"
"35",28,53,40.018,4,"2021-11-09","15","15-1","0","98"
"36",11,54,8.937,1,"2021-11-09","15","15-1","0","98"
"37",19,57,4.887,4,"2021-11-09","15","15-2","0","98"
"38",30,58,2.681,2,"2021-11-09","15","15-2","0","98"
"39",6,59,3.495,4,"2021-11-09","15","15-2","0","98"
"40",21,60,3.034,2,"2021-11-09","15","15-2","0","98"
"41",22,61,4.809,1,"2021-11-09","15","15-2","0","98"
"42",32,62,15.139,3,"2021-11-09","15","15-2","0","98"
"43",7,63,3.432,5,"2021-11-09","15","15-2","0","98"
"44",31,65,9.721,3,"2021-11-09","20","20-1","0","98"
"45",3,67,4.941,1,"2021-11-09","20","20-1","0","98"
"46",4,69,7.973,2,"2021-11-09","20","20-1","0","98"
"47",8,70,20.795,5,"2021-11-09","20","20-1","0","98"
"48",7,72,12.022,3,"2021-11-09","20","20-1","0","98"
"49",15,73,4.022,4,"2021-11-09","20","20-2","0","98"
"50",15,74,3.306,3,"2021-11-09","20","20-2","0","98"
"51",24,75,9.976,3,"2021-11-09","20","20-2","0","98"
"52",28,76,15.381,2,"2021-11-09","20","20-2","0","98"
"53",30,77,40.121,3,"2021-11-09","20","20-2","0","98"
"54",5,78,9.801,5,"2021-11-09","20","20-2","0","98"
"55",21,79,2.694,4,"2021-11-09","20","20-2","0","98"
"56",17,97,3.374,4,"2022-01-28","15","15-1","0","190"
"57",4,98,3.667,3,"2022-01-28","15","15-1","0","190"
"58",5,99,5.203,3,"2022-01-28","15","15-1","0","190"
"59",9,100,7.006,3,"2022-01-28","15","15-1","0","190"
"60",14,101,10.936,1,"2022-01-28","15","15-1","0","190"
"61",18,102,9.458,2,"2022-01-28","15","15-1","0","190"
"62",12,103,3.098,1,"2022-01-28","15","15-1","0","190"
"63",29,104,31.934,4,"2022-01-28","15","15-1","0","190"
"64",31,105,2.651,2,"2022-01-28","15","15-2","0","190"
"65",8,106,5.106,3,"2022-01-28","15","15-2","0","190"
"66",25,107,14.245,1,"2022-01-28","15","15-2","0","190"
"67",13,108,1.75,3,"2022-01-28","15","15-2","0","190"
"68",27,109,13.761,2,"2022-01-28","15","15-2","0","190"
"69",21,110,27.811,3,"2022-01-28","15","15-2","0","190"
"70",8,111,6.738,4,"2022-01-28","15","15-2","0","190"
"71",20,112,8.736,1,"2022-01-28","15","15-2","0","190"
"72",24,113,18.379,4,"2022-01-28","20","20-1","0","190"
"73",31,114,11.977,1,"2022-01-28","20","20-1","0","190"
"74",24,115,19.324,1,"2022-01-28","20","20-1","0","190"
"75",16,116,14.017,4,"2022-01-28","20","20-1","0","190"
"76",17,117,26.129,1,"2022-01-28","20","20-1","0","190"
"77",12,118,30.706,3,"2022-01-28","20","20-1","0","190"
"78",19,119,27.119,2,"2022-01-28","20","20-1","0","190"
"79",33,120,57.162,2,"2022-01-28","20","20-1","0","190"
