"","TAGNUMBER","TANK_Real","LAST4","condition1","ConditionFactor","condition2","Date"
"1","00186D163A",151,"163A","K1",1.13395214721939,"T1",2021-07-29
"2","00186D163A",151,"163A","K2",1.08965636708567,"T2",2021-08-30
"3","00186D163A",151,"163A","K3",1.11969409475742,"T3",2021-09-29
"4","00186D163A",151,"163A","K4",1.15739377100375,"T4",2021-11-04
"5","00186D163A",151,"163A","K5",1.10422740524781,"T5",2021-12-09
"6","00186D163A",151,"163A","K6",1.10078070754797,"T6",2022-01-06
"7","00186D163A",151,"163A","K7",1.24137174211248,"T7",2022-03-30
"8","00186D163B",201,"163B","K1",1.14547032571008,"T1",2021-07-29
"9","00186D163B",201,"163B","K2",1.19665989911549,"T2",2021-08-30
"10","00186D163B",201,"163B","K3",1.1398330958681,"T3",2021-09-29
"11","00186D163B",201,"163B","K4",1.12336506581992,"T4",2021-11-04
"12","00186D163B",201,"163B","K5",1.05628014923221,"T5",2021-12-09
"13","00186D163B",201,"163B","K6",1.15955087560637,"T6",2022-01-06
"14","00186D163B",201,"163B","K7",1.23734887291946,"T7",2022-03-30
"15","00186D163C",152,"163C","K1",1.18718208633553,"T1",2021-07-29
"16","00186D163C",152,"163C","K2",1.10142242734925,"T2",2021-08-21
"17","00186D163C",152,"163C","K3",NA,"T3",NA
"18","00186D163C",152,"163C","K4",NA,"T4",NA
"19","00186D163C",152,"163C","K5",NA,"T5",NA
"20","00186D163C",152,"163C","K6",NA,"T6",NA
"21","00186D163C",152,"163C","K7",NA,"T7",NA
"22","00186D163D",201,"163D","K1",1.11978947957784,"T1",2021-07-29
"23","00186D163D",201,"163D","K2",1.1390144335909,"T2",2021-08-30
"24","00186D163D",201,"163D","K3",1.11328125,"T3",2021-09-29
"25","00186D163D",201,"163D","K4",1.2,"T4",2021-11-04
"26","00186D163D",201,"163D","K5",NA,"T5",NA
"27","00186D163D",201,"163D","K6",NA,"T6",NA
"28","00186D163D",201,"163D","K7",NA,"T7",NA
"29","00186D163E",152,"163E","K1",1.08190597667638,"T1",2021-07-29
"30","00186D163E",152,"163E","K2",1.21762265265183,"T2",2021-08-24
"31","00186D163E",152,"163E","K3",NA,"T3",NA
"32","00186D163E",152,"163E","K4",NA,"T4",NA
"33","00186D163E",152,"163E","K5",NA,"T5",NA
"34","00186D163E",152,"163E","K6",NA,"T6",NA
"35","00186D163E",152,"163E","K7",NA,"T7",NA
"36","00186D163F",151,"163F","K1",1.18718208633553,"T1",2021-07-29
"37","00186D163F",151,"163F","K2",1.13477565759792,"T2",2021-08-30
"38","00186D163F",151,"163F","K3",1.12973760932945,"T3",2021-09-29
"39","00186D163F",151,"163F","K4",1.2517146776406,"T4",2021-11-04
"40","00186D163F",151,"163F","K5",1.2291189026396,"T5",2021-12-09
"41","00186D163F",151,"163F","K6",1.14102117315064,"T6",2022-01-06
"42","00186D163F",151,"163F","K7",1.1754035949707,"T7",2022-02-04
"43","00186D1640",202,"1640","K1",1.02996826171875,"T1",2021-07-29
"44","00186D1640",202,"1640","K2",1.13136025659717,"T2",2021-08-30
"45","00186D1640",202,"1640","K3",1.0914769458371,"T3",2021-09-29
"46","00186D1640",202,"1640","K4",1.28378242966571,"T4",2021-11-04
"47","00186D1640",202,"1640","K5",1.2786120425718,"T5",2021-12-09
"48","00186D1640",202,"1640","K6",1.25858099757386,"T6",2022-01-06
"49","00186D1640",202,"1640","K7",1.28744175282385,"T7",2022-02-04
"50","00186D1641",202,"1641","K1",1.13702623906706,"T1",2021-07-29
"51","00186D1641",202,"1641","K2",1.13480167213026,"T2",2021-08-30
"52","00186D1641",202,"1641","K3",1.0474557660634,"T3",2021-09-29
"53","00186D1641",202,"1641","K4",1.09553557082272,"T4",2021-11-04
"54","00186D1641",202,"1641","K5",NA,"T5",NA
"55","00186D1641",202,"1641","K6",NA,"T6",NA
"56","00186D1641",202,"1641","K7",NA,"T7",NA
"57","00186D1642",202,"1642","K1",1.07979699816435,"T1",2021-07-29
"58","00186D1642",202,"1642","K2",1.20735529960636,"T2",2021-08-28
"59","00186D1642",202,"1642","K3",NA,"T3",NA
"60","00186D1642",202,"1642","K4",NA,"T4",NA
"61","00186D1642",202,"1642","K5",NA,"T5",NA
"62","00186D1642",202,"1642","K6",NA,"T6",NA
"63","00186D1642",202,"1642","K7",NA,"T7",NA
"64","00186D1643",152,"1643","K1",1.01851851851852,"T1",2021-07-29
"65","00186D1643",152,"1643","K2",1.07255556120059,"T2",2021-08-30
"66","00186D1643",152,"1643","K3",1.14890400604686,"T3",2021-09-29
"67","00186D1643",152,"1643","K4",1.14701866181156,"T4",2021-11-04
"68","00186D1643",152,"1643","K5",1.16663938235853,"T5",2021-12-09
"69","00186D1643",152,"1643","K6",1.13010713996797,"T6",2022-01-06
"70","00186D1643",152,"1643","K7",NA,"T7",NA
"71","00186D1644",152,"1644","K1",0.96168294515402,"T1",2021-07-29
"72","00186D1644",152,"1644","K2",1.06171646023732,"T2",2021-08-30
"73","00186D1644",152,"1644","K3",1.04089854745347,"T3",2021-09-29
"74","00186D1644",152,"1644","K4",1.12128,"T4",2021-11-04
"75","00186D1644",152,"1644","K5",1.13080544013248,"T5",2021-12-09
"76","00186D1644",152,"1644","K6",1.18297376093294,"T6",2022-01-06
"77","00186D1644",152,"1644","K7",1.27824417009602,"T7",2022-03-30
"78","00186D1645",202,"1645","K1",0.9918212890625,"T1",2021-07-29
"79","00186D1645",202,"1645","K2",1.29835673197966,"T2",2021-08-30
"80","00186D1645",202,"1645","K3",0.990478825763769,"T3",2021-09-29
"81","00186D1645",202,"1645","K4",1.20758362516604,"T4",2021-11-04
"82","00186D1645",202,"1645","K5",1.17205108940646,"T5",2021-12-09
"83","00186D1645",202,"1645","K6",1.17371888969282,"T6",2022-01-06
"84","00186D1645",202,"1645","K7",1.09831828404552,"T7",2022-03-30
"85","00186D1646",201,"1646","K1",1.05598543468366,"T1",2021-07-29
"86","00186D1646",201,"1646","K2",1.23329609262779,"T2",2021-08-30
"87","00186D1646",201,"1646","K3",1.15288628472222,"T3",2021-09-29
"88","00186D1646",201,"1646","K4",1.1901043807019,"T4",2021-11-04
"89","00186D1646",201,"1646","K5",NA,"T5",NA
"90","00186D1646",201,"1646","K6",NA,"T6",NA
"91","00186D1646",201,"1646","K7",NA,"T7",NA
"92","00186D1647",202,"1647","K1",0.971958983330903,"T1",2021-07-29
"93","00186D1647",202,"1647","K2",1.06541982107035,"T2",2021-08-30
"94","00186D1647",202,"1647","K3",1.04789327890363,"T3",2021-09-29
"95","00186D1647",202,"1647","K4",1.18868308569102,"T4",2021-11-04
"96","00186D1647",202,"1647","K5",1.05790566681839,"T5",2021-12-09
"97","00186D1647",202,"1647","K6",1.10193119849112,"T6",2022-01-06
"98","00186D1647",202,"1647","K7",NA,"T7",NA
"99","00186D1648",202,"1648","K1",1.06481481481481,"T1",2021-07-29
"100","00186D1648",202,"1648","K2",1.13702623906706,"T2",2021-08-30
"101","00186D1648",202,"1648","K3",0.951115246891524,"T3",2021-09-29
"102","00186D1648",202,"1648","K4",1.16635077999708,"T4",2021-11-04
"103","00186D1648",202,"1648","K5",NA,"T5",NA
"104","00186D1648",202,"1648","K6",NA,"T6",NA
"105","00186D1648",202,"1648","K7",NA,"T7",NA
"106","00186D1649",151,"1649","K1",1.07961184778743,"T1",2021-07-29
"107","00186D1649",151,"1649","K2",1.02949841522957,"T2",2021-08-30
"108","00186D1649",151,"1649","K3",1.18679470486111,"T3",2021-09-29
"109","00186D1649",151,"1649","K4",1.02505227766616,"T4",2021-11-04
"110","00186D1649",151,"1649","K5",1.0972094306813,"T5",2021-12-09
"111","00186D1649",151,"1649","K6",1.20618546416526,"T6",2022-01-06
"112","00186D1649",151,"1649","K7",1.08375,"T7",2022-03-30
"113","00186D164A",201,"164A","K1",1.068115234375,"T1",2021-07-29
"114","00186D164A",201,"164A","K2",1.10857505584637,"T2",2021-08-30
"115","00186D164A",201,"164A","K3",1.1143505021056,"T3",2021-09-29
"116","00186D164A",201,"164A","K4",1.18272,"T4",2021-11-04
"117","00186D164A",201,"164A","K5",NA,"T5",NA
"118","00186D164A",201,"164A","K6",NA,"T6",NA
"119","00186D164A",201,"164A","K7",NA,"T7",NA
"120","00186D164B",201,"164B","K1",1.05598543468366,"T1",2021-07-29
"121","00186D164B",201,"164B","K2",1.17392937640871,"T2",2021-08-30
"122","00186D164B",201,"164B","K3",1.14890400604686,"T3",2021-09-29
"123","00186D164B",201,"164B","K4",1.24928,"T4",2021-11-04
"124","00186D164B",201,"164B","K5",NA,"T5",NA
"125","00186D164B",201,"164B","K6",NA,"T6",NA
"126","00186D164B",201,"164B","K7",NA,"T7",NA
"127","00186D164C",151,"164C","K1",1.08190597667638,"T1",2021-07-29
"128","00186D164C",151,"164C","K2",1.00956645634032,"T2",2021-08-30
"129","00186D164C",151,"164C","K3",1.10193119849112,"T3",2021-09-29
"130","00186D164C",151,"164C","K4",1.19664787561601,"T4",2021-11-04
"131","00186D164C",151,"164C","K5",1.16965426024678,"T5",2021-12-09
"132","00186D164C",151,"164C","K6",1.13716468526139,"T6",2022-01-06
"133","00186D164C",151,"164C","K7",1.21774412148001,"T7",2022-03-30
"134","00186D164D",152,"164D","K1",1.12755750543278,"T1",2021-07-29
