"","TAGNUMBER","TANK_Real","condition1","ConditionFactor","condition3","Date","condition4","Days_in_Exp"
"1","00186D163A",151,"K1",1.13395214721939,"T1",2021-07-29,"Day_in_Exp_T1",0
"2","00186D163A",151,"K2",1.08965636708567,"T2",2021-08-30,"Day_in_Exp_T2",20
"3","00186D163A",151,"K3",1.11969409475742,"T3",2021-09-29,"Day_in_Exp_T3",62
"4","00186D163A",151,"K4",1.15739377100375,"T4",2021-11-04,"Day_in_Exp_T4",98
"5","00186D163A",151,"K5",1.10422740524781,"T5",2021-12-09,"Day_in_Exp_T5",133
"6","00186D163A",151,"K6",1.10078070754797,"T6",2022-01-06,"Day_in_Exp_T6",161
"7","00186D163A",151,"K7",NA,"T7",NA,"Day_in_Exp_T7",NA
"8","00186D163B",201,"K1",1.14547032571008,"T8",2022-03-30,"Day_in_Exp_T8",244
"9","00186D163B",201,"K2",1.19665989911549,"T1",2021-07-29,"Day_in_Exp_T1",0
"10","00186D163B",201,"K3",1.1398330958681,"T2",2021-08-30,"Day_in_Exp_T2",20
"11","00186D163B",201,"K4",1.12336506581992,"T3",2021-09-29,"Day_in_Exp_T3",62
"12","00186D163B",201,"K5",1.05628014923221,"T4",2021-11-04,"Day_in_Exp_T4",98
"13","00186D163B",201,"K6",1.15955087560637,"T5",2021-12-09,"Day_in_Exp_T5",133
"14","00186D163B",201,"K7",NA,"T6",2022-01-06,"Day_in_Exp_T6",161
"15","00186D163C",152,"K1",1.18718208633553,"T7",NA,"Day_in_Exp_T7",NA
"16","00186D163C",152,"K2",1.10142242734925,"T8",2022-03-30,"Day_in_Exp_T8",244
"17","00186D163C",152,"K3",NA,"T1",2021-07-29,"Day_in_Exp_T1",0
"18","00186D163C",152,"K4",NA,"T2",2021-08-21,"Day_in_Exp_T2",20
"19","00186D163C",152,"K5",NA,"T3",NA,"Day_in_Exp_T3",NA
"20","00186D163C",152,"K6",NA,"T4",NA,"Day_in_Exp_T4",NA
"21","00186D163C",152,"K7",NA,"T5",NA,"Day_in_Exp_T5",NA
"22","00186D163D",201,"K1",1.11978947957784,"T6",NA,"Day_in_Exp_T6",NA
"23","00186D163D",201,"K2",1.1390144335909,"T7",NA,"Day_in_Exp_T7",NA
"24","00186D163D",201,"K3",1.11328125,"T8",NA,"Day_in_Exp_T8",NA
"25","00186D163D",201,"K4",1.2,"T1",2021-07-29,"Day_in_Exp_T1",0
"26","00186D163D",201,"K5",NA,"T2",2021-08-30,"Day_in_Exp_T2",20
"27","00186D163D",201,"K6",NA,"T3",2021-09-29,"Day_in_Exp_T3",62
"28","00186D163D",201,"K7",NA,"T4",2021-11-04,"Day_in_Exp_T4",98
"29","00186D163E",152,"K1",1.08190597667638,"T5",NA,"Day_in_Exp_T5",NA
"30","00186D163E",152,"K2",1.21762265265183,"T6",NA,"Day_in_Exp_T6",NA
"31","00186D163E",152,"K3",NA,"T7",NA,"Day_in_Exp_T7",NA
"32","00186D163E",152,"K4",NA,"T8",NA,"Day_in_Exp_T8",NA
"33","00186D163E",152,"K5",NA,"T1",2021-07-29,"Day_in_Exp_T1",0
"34","00186D163E",152,"K6",NA,"T2",2021-08-24,"Day_in_Exp_T2",20
"35","00186D163E",152,"K7",NA,"T3",NA,"Day_in_Exp_T3",NA
"36","00186D163F",151,"K1",1.18718208633553,"T4",NA,"Day_in_Exp_T4",NA
"37","00186D163F",151,"K2",1.13477565759792,"T5",NA,"Day_in_Exp_T5",NA
"38","00186D163F",151,"K3",1.12973760932945,"T6",NA,"Day_in_Exp_T6",NA
"39","00186D163F",151,"K4",1.2517146776406,"T7",NA,"Day_in_Exp_T7",NA
"40","00186D163F",151,"K5",1.2291189026396,"T8",NA,"Day_in_Exp_T8",NA
"41","00186D163F",151,"K6",1.14102117315064,"T1",2021-07-29,"Day_in_Exp_T1",0
"42","00186D163F",151,"K7",1.1754035949707,"T2",2021-08-30,"Day_in_Exp_T2",20
"43","00186D1640",202,"K1",1.02996826171875,"T3",2021-09-29,"Day_in_Exp_T3",62
"44","00186D1640",202,"K2",1.13136025659717,"T4",2021-11-04,"Day_in_Exp_T4",98
"45","00186D1640",202,"K3",1.0914769458371,"T5",2021-12-09,"Day_in_Exp_T5",133
"46","00186D1640",202,"K4",1.28378242966571,"T6",2022-01-06,"Day_in_Exp_T6",161
"47","00186D1640",202,"K5",1.2786120425718,"T7",2022-02-04,"Day_in_Exp_T7",190
"48","00186D1640",202,"K6",1.25858099757386,"T8",NA,"Day_in_Exp_T8",NA
"49","00186D1640",202,"K7",1.28744175282385,"T1",2021-07-29,"Day_in_Exp_T1",0
"50","00186D1641",202,"K1",1.13702623906706,"T2",2021-08-30,"Day_in_Exp_T2",20
"51","00186D1641",202,"K2",1.13480167213026,"T3",2021-09-29,"Day_in_Exp_T3",62
"52","00186D1641",202,"K3",1.0474557660634,"T4",2021-11-04,"Day_in_Exp_T4",98
"53","00186D1641",202,"K4",1.09553557082272,"T5",2021-12-09,"Day_in_Exp_T5",133
"54","00186D1641",202,"K5",NA,"T6",2022-01-06,"Day_in_Exp_T6",161
"55","00186D1641",202,"K6",NA,"T7",2022-02-04,"Day_in_Exp_T7",190
"56","00186D1641",202,"K7",NA,"T8",NA,"Day_in_Exp_T8",NA
"57","00186D1642",202,"K1",1.07979699816435,"T1",2021-07-29,"Day_in_Exp_T1",0
"58","00186D1642",202,"K2",1.20735529960636,"T2",2021-08-30,"Day_in_Exp_T2",20
"59","00186D1642",202,"K3",NA,"T3",2021-09-29,"Day_in_Exp_T3",62
"60","00186D1642",202,"K4",NA,"T4",2021-11-04,"Day_in_Exp_T4",98
"61","00186D1642",202,"K5",NA,"T5",NA,"Day_in_Exp_T5",NA
"62","00186D1642",202,"K6",NA,"T6",NA,"Day_in_Exp_T6",NA
"63","00186D1642",202,"K7",NA,"T7",NA,"Day_in_Exp_T7",NA
"64","00186D1643",152,"K1",1.01851851851852,"T8",NA,"Day_in_Exp_T8",NA
"65","00186D1643",152,"K2",1.07255556120059,"T1",2021-07-29,"Day_in_Exp_T1",0
"66","00186D1643",152,"K3",1.14890400604686,"T2",2021-08-28,"Day_in_Exp_T2",20
"67","00186D1643",152,"K4",1.14701866181156,"T3",NA,"Day_in_Exp_T3",NA
"68","00186D1643",152,"K5",1.16663938235853,"T4",NA,"Day_in_Exp_T4",NA
"69","00186D1643",152,"K6",1.13010713996797,"T5",NA,"Day_in_Exp_T5",NA
"70","00186D1643",152,"K7",NA,"T6",NA,"Day_in_Exp_T6",NA
"71","00186D1644",152,"K1",0.96168294515402,"T7",NA,"Day_in_Exp_T7",NA
"72","00186D1644",152,"K2",1.06171646023732,"T8",NA,"Day_in_Exp_T8",NA
"73","00186D1644",152,"K3",1.04089854745347,"T1",2021-07-29,"Day_in_Exp_T1",0
"74","00186D1644",152,"K4",1.12128,"T2",2021-08-30,"Day_in_Exp_T2",20
"75","00186D1644",152,"K5",1.13080544013248,"T3",2021-09-29,"Day_in_Exp_T3",62
"76","00186D1644",152,"K6",1.18297376093294,"T4",2021-11-04,"Day_in_Exp_T4",98
