"","TAGNUMBER","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME"
"1","00186D163A",151,"WEIGHT_1",2.1,"LENGTH_1",57,"T1",2021-07-29
"2","00186D163A",151,"WEIGHT_2",3.9,"LENGTH_2",71,"T2",2021-08-30
"3","00186D163A",151,"WEIGHT_3",9.3,"LENGTH_3",94,"T3",2021-09-29
"4","00186D163A",151,"WEIGHT_4",16.7,"LENGTH_4",113,"T4",2021-11-04
"5","00186D163A",151,"WEIGHT_5",30.3,"LENGTH_5",140,"T5",2021-12-09
"6","00186D163A",151,"WEIGHT_6",46.8,"LENGTH_6",162,"T6",2022-01-06
"7","00186D163A",151,"WEIGHT_7",141.4,"LENGTH_7",225,"T7",2022-03-30
"8","00186D163B",201,"WEIGHT_1",2.6,"LENGTH_1",61,"T1",2021-07-29
"9","00186D163B",201,"WEIGHT_2",5.9,"LENGTH_2",79,"T2",2021-08-30
"10","00186D163B",201,"WEIGHT_3",7,"LENGTH_3",85,"T3",2021-09-29
"11","00186D163B",201,"WEIGHT_4",10.9,"LENGTH_4",99,"T4",2021-11-04
"12","00186D163B",201,"WEIGHT_5",17.8,"LENGTH_5",119,"T5",2021-12-09
"13","00186D163B",201,"WEIGHT_6",27.9,"LENGTH_6",134,"T6",2022-01-06
"14","00186D163B",201,"WEIGHT_7",56.6,"LENGTH_7",166,"T7",2022-03-30
"15","00186D163C",152,"WEIGHT_1",3.9,"LENGTH_1",69,"T1",2021-07-29
"16","00186D163C",152,"WEIGHT_2",8.3,"LENGTH_2",91,"T2",2021-08-21
"17","00186D163C",152,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA
"18","00186D163C",152,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA
"19","00186D163C",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"20","00186D163C",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"21","00186D163C",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"22","00186D163D",201,"WEIGHT_1",2.8,"LENGTH_1",63,"T1",2021-07-29
"23","00186D163D",201,"WEIGHT_2",5,"LENGTH_2",76,"T2",2021-08-30
"24","00186D163D",201,"WEIGHT_3",5.7,"LENGTH_3",80,"T3",2021-09-29
"25","00186D163D",201,"WEIGHT_4",12,"LENGTH_4",100,"T4",2021-11-04
"26","00186D163D",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"27","00186D163D",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"28","00186D163D",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"29","00186D163E",152,"WEIGHT_1",1.9,"LENGTH_1",56,"T1",2021-07-29
"30","00186D163E",152,"WEIGHT_2",4,"LENGTH_2",69,"T2",2021-08-24
"31","00186D163E",152,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA
"32","00186D163E",152,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA
"33","00186D163E",152,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"34","00186D163E",152,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"35","00186D163E",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"36","00186D163F",151,"WEIGHT_1",3.9,"LENGTH_1",69,"T1",2021-07-29
"37","00186D163F",151,"WEIGHT_2",12.4,"LENGTH_2",103,"T2",2021-08-30
"38","00186D163F",151,"WEIGHT_3",31,"LENGTH_3",140,"T3",2021-09-29
"39","00186D163F",151,"WEIGHT_4",73,"LENGTH_4",180,"T4",2021-11-04
"40","00186D163F",151,"WEIGHT_5",129.1,"LENGTH_5",219,"T5",2021-12-09
"41","00186D163F",151,"WEIGHT_6",167.8,"LENGTH_6",245,"T6",2022-01-06
"42","00186D163F",151,"WEIGHT_7",197.2,"LENGTH_7",256,"T7",2022-02-04
"43","00186D1640",202,"WEIGHT_1",2.7,"LENGTH_1",64,"T1",2021-07-29
"44","00186D1640",202,"WEIGHT_2",9.7,"LENGTH_2",95,"T2",2021-08-30
"45","00186D1640",202,"WEIGHT_3",16.6,"LENGTH_3",115,"T3",2021-09-29
"46","00186D1640",202,"WEIGHT_4",44.2,"LENGTH_4",151,"T4",2021-11-04
"47","00186D1640",202,"WEIGHT_5",87.7,"LENGTH_5",190,"T5",2021-12-09
"48","00186D1640",202,"WEIGHT_6",114.9,"LENGTH_6",209,"T6",2022-01-06
"49","00186D1640",202,"WEIGHT_7",107.7,"LENGTH_7",203,"T7",2022-02-04
"50","00186D1641",202,"WEIGHT_1",3.9,"LENGTH_1",70,"T1",2021-07-29
"51","00186D1641",202,"WEIGHT_2",8,"LENGTH_2",89,"T2",2021-08-30
"52","00186D1641",202,"WEIGHT_3",8.7,"LENGTH_3",94,"T3",2021-09-29
"53","00186D1641",202,"WEIGHT_4",18,"LENGTH_4",118,"T4",2021-11-04
"54","00186D1641",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"55","00186D1641",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"56","00186D1641",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"57","00186D1642",202,"WEIGHT_1",2.7,"LENGTH_1",63,"T1",2021-07-29
"58","00186D1642",202,"WEIGHT_2",5.3,"LENGTH_2",76,"T2",2021-08-28
"59","00186D1642",202,"WEIGHT_3",NA,"LENGTH_3",NA,"T3",NA
"60","00186D1642",202,"WEIGHT_4",NA,"LENGTH_4",NA,"T4",NA
"61","00186D1642",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"62","00186D1642",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"63","00186D1642",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"64","00186D1643",152,"WEIGHT_1",2.2,"LENGTH_1",60,"T1",2021-07-29
"65","00186D1643",152,"WEIGHT_2",5.7,"LENGTH_2",81,"T2",2021-08-30
"66","00186D1643",152,"WEIGHT_3",13.3,"LENGTH_3",105,"T3",2021-09-29
"67","00186D1643",152,"WEIGHT_4",25.2,"LENGTH_4",130,"T4",2021-11-04
"68","00186D1643",152,"WEIGHT_5",49.6,"LENGTH_5",162,"T5",2021-12-09
"69","00186D1643",152,"WEIGHT_6",73.9,"LENGTH_6",187,"T6",2022-01-06
"70","00186D1643",152,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"71","00186D1644",152,"WEIGHT_1",1.6,"LENGTH_1",55,"T1",2021-07-29
"72","00186D1644",152,"WEIGHT_2",3.8,"LENGTH_2",71,"T2",2021-08-30
"73","00186D1644",152,"WEIGHT_3",9.5,"LENGTH_3",97,"T3",2021-09-29
"74","00186D1644",152,"WEIGHT_4",21.9,"LENGTH_4",125,"T4",2021-11-04
"75","00186D1644",152,"WEIGHT_5",41.3,"LENGTH_5",154,"T5",2021-12-09
"76","00186D1644",152,"WEIGHT_6",63.4,"LENGTH_6",175,"T6",2022-01-06
