"","TAGNUMBER","TANK_Real","T1","LENGTH_1","WEIGHT_1","T2","LENGTH_2","WEIGHT_2","T3","LENGTH_3","WEIGHT_3","T4","LENGTH_4","WEIGHT_4","T5","LENGTH_5","WEIGHT_5","T6","LENGTH_6","WEIGHT_6","T7","LENGTH_7","WEIGHT_7","DATE"
"1","00186D163A",151,2021-07-29,57,2.1,2021-08-30,71,3.9,2021-09-29,94,9.3,2021-11-04,113,16.7,2021-12-09,140,30.3,2022-01-06,162,46.8,2022-03-30,225,141.4,2022-03-30
"2","00186D163B",201,2021-07-29,61,2.6,2021-08-30,79,5.9,2021-09-29,85,7,2021-11-04,99,10.9,2021-12-09,119,17.8,2022-01-06,134,27.9,2022-03-30,166,56.6,2022-03-30
"3","00186D163C",152,2021-07-29,69,3.9,2021-08-30,91,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","00186D163D",201,2021-07-29,63,2.8,2021-08-30,76,5,2021-09-29,80,5.7,2021-11-04,100,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","00186D163D",201,2021-07-29,63,2.8,2021-08-30,76,5,2021-09-29,80,5.7,2021-11-04,98,11.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","00186D163E",152,2021-07-29,56,1.9,2021-08-30,69,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","00186D163F",151,2021-07-29,69,3.9,2021-08-30,103,12.4,2021-09-29,140,31,2021-11-04,180,73,2021-12-09,219,129.1,2022-01-06,245,167.8,NA,NA,NA,NA
"8","00186D1640",202,2021-07-29,64,2.7,2021-08-30,95,9.7,2021-09-29,115,16.6,2021-11-04,151,44.2,2021-12-09,190,87.7,2022-01-06,209,114.9,NA,NA,NA,NA
"9","00186D1641",202,2021-07-29,70,3.9,2021-08-30,89,8,2021-09-29,94,8.7,2021-11-04,118,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","00186D1641",202,2021-07-29,70,3.9,2021-08-30,89,8,2021-09-29,94,8.7,2021-11-04,119,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","00186D1642",202,2021-07-29,63,2.7,2021-08-30,76,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","00186D1643",152,2021-07-29,60,2.2,2021-08-30,81,5.7,2021-09-29,105,13.3,2021-11-04,130,25.2,2021-12-09,162,49.6,2022-01-06,187,73.9,NA,NA,NA,NA
"13","00186D1644",152,2021-07-29,55,1.6,2021-08-30,71,3.8,2021-09-29,97,9.5,2021-11-04,125,21.9,2021-12-09,154,41.3,2022-01-06,175,63.4,2022-03-30,225,145.6,2022-03-30
"14","00186D1645",202,2021-07-29,64,2.6,2021-08-30,81,6.9,2021-09-29,86,6.3,2021-11-04,91,9.1,2021-12-09,110,15.6,2022-01-06,109,15.2,2022-03-30,155,40.9,2022-03-30
"15","00186D1646",201,2021-07-29,65,2.9,2021-08-30,82,6.8,2021-09-29,96,10.2,2021-11-04,113,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
