"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days"
"1","00186D163A",151,"SGR_1",1.95333017266976,"T2minusT1",32
"2","00186D163A",151,"SGR_2",2.42915909096499,"T3minusT1",62
"3","00186D163A",151,"SGR_3",2.13832858847827,"T4minusT1",98
"4","00186D163A",151,"SGR_4",2.02719923193904,"T5minusT1",133
"5","00186D163A",151,"SGR_5",1.9466210036563,"T6minusT1",161
"6","00186D163A",151,"SGR_6",1.74023732864959,"T7minusT1",244
"7","00186D163B",201,"SGR_1",2.59382177411069,"T2minusT1",32
"8","00186D163B",201,"SGR_2",1.61024418293345,"T3minusT1",62
"9","00186D163B",201,"SGR_3",1.47324825011856,"T4minusT1",98
"10","00186D163B",201,"SGR_4",1.456891919114,"T5minusT1",133
"11","00186D163B",201,"SGR_5",1.48490134782751,"T6minusT1",161
"12","00186D163B",201,"SGR_6",1.27050215488711,"T7minusT1",244
"13","00186D163C",152,"SGR_1",3.33833405417017,"T2minusT1",23
"14","00186D163C",152,"SGR_2",NA,"T3minusT1",NA
"15","00186D163C",152,"SGR_3",NA,"T4minusT1",NA
"16","00186D163C",152,"SGR_4",NA,"T5minusT1",NA
"17","00186D163C",152,"SGR_5",NA,"T6minusT1",NA
"18","00186D163C",152,"SGR_6",NA,"T7minusT1",NA
"19","00186D163D",201,"SGR_1",1.8284478966855,"T2minusT1",32
"20","00186D163D",201,"SGR_2",1.15312484074162,"T3minusT1",62
"21","00186D163D",201,"SGR_3",1.49606768468771,"T4minusT1",98
"22","00186D163D",201,"SGR_4",NA,"T5minusT1",NA
"23","00186D163D",201,"SGR_5",NA,"T6minusT1",NA
"24","00186D163D",201,"SGR_6",NA,"T7minusT1",NA
"25","00186D163E",152,"SGR_1",2.90461713475529,"T2minusT1",26
"26","00186D163E",152,"SGR_2",NA,"T3minusT1",NA
"27","00186D163E",152,"SGR_3",NA,"T4minusT1",NA
"28","00186D163E",152,"SGR_4",NA,"T5minusT1",NA
"29","00186D163E",152,"SGR_5",NA,"T6minusT1",NA
"30","00186D163E",152,"SGR_6",NA,"T7minusT1",NA
"31","00186D163F",151,"SGR_1",3.68087618966881,"T2minusT1",32
"32","00186D163F",151,"SGR_2",3.40009094868343,"T3minusT1",62
"33","00186D163F",151,"SGR_3",3.03439541144286,"T4minusT1",98
"34","00186D163F",151,"SGR_4",2.66621025530009,"T5minusT1",133
"35","00186D163F",151,"SGR_5",2.36402986348416,"T6minusT1",161
"36","00186D163F",151,"SGR_6",2.08632996399436,"T7minusT1",190
"37","00186D1640",202,"SGR_1",4.07741549665499,"T2minusT1",32
"38","00186D1640",202,"SGR_2",2.9726009656261,"T3minusT1",62
"39","00186D1640",202,"SGR_3",2.89359755600371,"T4minusT1",98
"40","00186D1640",202,"SGR_4",2.65159053312549,"T5minusT1",133
"41","00186D1640",202,"SGR_5",2.35704529598604,"T6minusT1",161
"42","00186D1640",202,"SGR_6",1.95899277024687,"T7minusT1",190
"43","00186D1641",202,"SGR_1",2.27059746944409,"T2minusT1",32
"44","00186D1641",202,"SGR_2",1.3025170192974,"T3minusT1",62
"45","00186D1641",202,"SGR_3",1.57284842378522,"T4minusT1",98
"46","00186D1641",202,"SGR_4",NA,"T5minusT1",NA
"47","00186D1641",202,"SGR_5",NA,"T6minusT1",NA
"48","00186D1641",202,"SGR_6",NA,"T7minusT1",NA
"49","00186D1642",202,"SGR_1",2.27364559043883,"T2minusT1",30
