"","TAGNUMBER","TANK_Real","condition1","SGR","condition2","Interval_Days","condition3","Date","condition4","Days_in_Exp"
"1","00186D163A",151,"SGR_1",1.95333017266976,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"2","00186D163A",151,"SGR_2",2.42915909096499,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"3","00186D163A",151,"SGR_3",2.13832858847827,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"4","00186D163A",151,"SGR_4",2.02719923193904,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"5","00186D163A",151,"SGR_5",1.9466210036563,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"6","00186D163A",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"7","00186D163A",151,"SGR_7",1.74023732864959,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"8","00186D163B",201,"SGR_1",2.59382177411069,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"9","00186D163B",201,"SGR_2",1.61024418293345,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"10","00186D163B",201,"SGR_3",1.47324825011856,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"11","00186D163B",201,"SGR_4",1.456891919114,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"12","00186D163B",201,"SGR_5",1.48490134782751,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"13","00186D163B",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"14","00186D163B",201,"SGR_7",1.27050215488711,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"15","00186D163C",152,"SGR_1",3.33833405417017,"T2minusT1",23,"T2",2021-08-21,"Day_in_Exp_T2",20
"16","00186D163C",152,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"17","00186D163C",152,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"18","00186D163C",152,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"19","00186D163C",152,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"20","00186D163C",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"21","00186D163C",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"22","00186D163D",201,"SGR_1",1.8284478966855,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"23","00186D163D",201,"SGR_2",1.15312484074162,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"24","00186D163D",201,"SGR_3",1.49606768468771,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"25","00186D163D",201,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"26","00186D163D",201,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"27","00186D163D",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"28","00186D163D",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"29","00186D163E",152,"SGR_1",2.90461713475529,"T2minusT1",26,"T2",2021-08-24,"Day_in_Exp_T2",20
"30","00186D163E",152,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"31","00186D163E",152,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"32","00186D163E",152,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"33","00186D163E",152,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"34","00186D163E",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"35","00186D163E",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"36","00186D163F",151,"SGR_1",3.68087618966881,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"37","00186D163F",151,"SGR_2",3.40009094868343,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"38","00186D163F",151,"SGR_3",3.03439541144286,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"39","00186D163F",151,"SGR_4",2.66621025530009,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"40","00186D163F",151,"SGR_5",2.36402986348416,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"41","00186D163F",151,"SGR_6",2.08632996399436,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"42","00186D163F",151,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"43","00186D1640",202,"SGR_1",4.07741549665499,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"44","00186D1640",202,"SGR_2",2.9726009656261,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"45","00186D1640",202,"SGR_3",2.89359755600371,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"46","00186D1640",202,"SGR_4",2.65159053312549,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"47","00186D1640",202,"SGR_5",2.35704529598604,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"48","00186D1640",202,"SGR_6",1.95899277024687,"T7minusT1",190,"T7",2022-02-04,"Day_in_Exp_T7",190
"49","00186D1640",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"50","00186D1641",202,"SGR_1",2.27059746944409,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"51","00186D1641",202,"SGR_2",1.3025170192974,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"52","00186D1641",202,"SGR_3",1.57284842378522,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"53","00186D1641",202,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"54","00186D1641",202,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"55","00186D1641",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"56","00186D1641",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"57","00186D1642",202,"SGR_1",2.27364559043883,"T2minusT1",30,"T2",2021-08-28,"Day_in_Exp_T2",20
"58","00186D1642",202,"SGR_2",NA,"T3minusT1",NA,"T3",NA,"Day_in_Exp_T3",NA
"59","00186D1642",202,"SGR_3",NA,"T4minusT1",NA,"T4",NA,"Day_in_Exp_T4",NA
"60","00186D1642",202,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"61","00186D1642",202,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"62","00186D1642",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"63","00186D1642",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"64","00186D1643",152,"SGR_1",3.01972362892933,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"65","00186D1643",152,"SGR_2",2.94462902399051,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"66","00186D1643",152,"SGR_3",2.51936240540453,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"67","00186D1643",152,"SGR_4",2.37015854729157,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"68","00186D1643",152,"SGR_5",2.20676401709445,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"69","00186D1643",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"70","00186D1643",152,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"71","00186D1644",152,"SGR_1",2.73998262362902,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"72","00186D1644",152,"SGR_2",2.91471549410447,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"73","00186D1644",152,"SGR_3",2.70584125462798,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"74","00186D1644",152,"SGR_4",2.47437157376909,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"75","00186D1644",152,"SGR_5",2.31169389514627,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"76","00186D1644",152,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"77","00186D1644",152,"SGR_7",1.86590740516601,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"78","00186D1645",202,"SGR_1",3.09702111500663,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"79","00186D1645",202,"SGR_2",1.43771811146356,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"80","00186D1645",202,"SGR_3",1.28653511942485,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"81","00186D1645",202,"SGR_4",1.35630303072138,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"82","00186D1645",202,"SGR_5",1.10279670120081,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"83","00186D1645",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"84","00186D1645",202,"SGR_7",1.13575314598136,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"85","00186D1646",201,"SGR_1",2.6989411841974,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"86","00186D1646",201,"SGR_2",2.04922537874768,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"87","00186D1646",201,"SGR_3",1.88613972039609,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"88","00186D1646",201,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"89","00186D1646",201,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"90","00186D1646",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"91","00186D1646",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"92","00186D1647",202,"SGR_1",2.09979276832637,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"93","00186D1647",202,"SGR_2",1.52484707131808,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"94","00186D1647",202,"SGR_3",1.43891503520679,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"95","00186D1647",202,"SGR_4",1.43024560964122,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"96","00186D1647",202,"SGR_5",1.41181283493783,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"97","00186D1647",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"98","00186D1647",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"99","00186D1648",202,"SGR_1",1.66390190392012,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"100","00186D1648",202,"SGR_2",0.769759949654514,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"101","00186D1648",202,"SGR_3",1.51097082230383,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"102","00186D1648",202,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"103","00186D1648",202,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"104","00186D1648",202,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"105","00186D1648",202,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"106","00186D1649",151,"SGR_1",3.22895460151202,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"107","00186D1649",151,"SGR_2",2.9802346469197,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"108","00186D1649",151,"SGR_3",2.31408365851955,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"109","00186D1649",151,"SGR_4",2.08361775564665,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"110","00186D1649",151,"SGR_5",1.9794279007519,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"111","00186D1649",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"112","00186D1649",151,"SGR_7",1.62445707989731,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"113","00186D164A",201,"SGR_1",3.03983412891338,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"114","00186D164A",201,"SGR_2",2.494488150498,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"115","00186D164A",201,"SGR_3",2.17662912147112,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"116","00186D164A",201,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"117","00186D164A",201,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"118","00186D164A",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"119","00186D164A",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"120","00186D164B",201,"SGR_1",3.2218467166619,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"121","00186D164B",201,"SGR_2",2.48695905639238,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"122","00186D164B",201,"SGR_3",2.19712822109794,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"123","00186D164B",201,"SGR_4",NA,"T5minusT1",NA,"T5",NA,"Day_in_Exp_T5",NA
"124","00186D164B",201,"SGR_5",NA,"T6minusT1",NA,"T6",NA,"Day_in_Exp_T6",NA
"125","00186D164B",201,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"126","00186D164B",201,"SGR_7",NA,"T8minusT1",NA,"T8",NA,"Day_in_Exp_T8",NA
"127","00186D164C",151,"SGR_1",3.76507164437967,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"128","00186D164C",151,"SGR_2",3.61719999635901,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"129","00186D164C",151,"SGR_3",3.18916983190165,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"130","00186D164C",151,"SGR_4",2.86644101981937,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"131","00186D164C",151,"SGR_5",2.57902757580459,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
"132","00186D164C",151,"SGR_6",NA,"T7minusT1",NA,"T7",NA,"Day_in_Exp_T7",NA
"133","00186D164C",151,"SGR_7",2.02080509430791,"T8minusT1",244,"T8",2022-03-30,"Day_in_Exp_T8",244
"134","00186D164D",152,"SGR_1",2.96275796141234,"T2minusT1",32,"T2",2021-08-30,"Day_in_Exp_T2",20
"135","00186D164D",152,"SGR_2",3.0881617680681,"T3minusT1",62,"T3",2021-09-29,"Day_in_Exp_T3",62
"136","00186D164D",152,"SGR_3",2.64080235572055,"T4minusT1",98,"T4",2021-11-04,"Day_in_Exp_T4",98
"137","00186D164D",152,"SGR_4",2.35289790329665,"T5minusT1",133,"T5",2021-12-09,"Day_in_Exp_T5",133
"138","00186D164D",152,"SGR_5",2.13597761202602,"T6minusT1",161,"T6",2022-01-06,"Day_in_Exp_T6",161
