"","TAGNUMBER","SEX","TANK_Real","condition1","SGR","condition2","Interval_Days"
"1","00186D163B","F",201,"SGR_1",2.59382177411069,"T2minusT1",32
"3","00186D163B","F",201,"SGR_2",1.61024418293345,"T3minusT1",62
"6","00186D163B","F",201,"SGR_3",1.47324825011856,"T4minusT1",98
"2","00186D163B","F",201,"SGR_4",1.456891919114,"T5minusT1",133
"5","00186D163B","F",201,"SGR_5",1.48490134782751,"T6minusT1",161
"4","00186D163B","F",201,"SGR_6",1.27050215488711,"T7minusT1",244
"9","00186D163D","M",201,"SGR_1",1.8284478966855,"T2minusT1",32
"11","00186D163D","M",201,"SGR_2",1.15312484074162,"T3minusT1",62
"12","00186D163D","M",201,"SGR_3",1.49606768468771,"T4minusT1",98
"8","00186D163D","M",201,"SGR_4",NA,"T5minusT1",NA
"7","00186D163D","M",201,"SGR_5",NA,"T6minusT1",NA
"10","00186D163D","M",201,"SGR_6",NA,"T7minusT1",NA
"16","00186D1640","M",202,"SGR_1",4.07741549665499,"T2minusT1",32
"17","00186D1640","M",202,"SGR_2",2.9726009656261,"T3minusT1",62
"18","00186D1640","M",202,"SGR_3",2.89359755600371,"T4minusT1",98
"13","00186D1640","M",202,"SGR_4",2.65159053312549,"T5minusT1",133
"15","00186D1640","M",202,"SGR_5",2.35704529598604,"T6minusT1",161
"14","00186D1640","M",202,"SGR_6",1.95899277024687,"T7minusT1",190
"24","00186D1646","F",201,"SGR_1",2.6989411841974,"T2minusT1",32
"22","00186D1646","F",201,"SGR_2",2.04922537874768,"T3minusT1",62
"19","00186D1646","F",201,"SGR_3",1.88613972039609,"T4minusT1",98
"21","00186D1646","F",201,"SGR_4",NA,"T5minusT1",NA
"23","00186D1646","F",201,"SGR_5",NA,"T6minusT1",NA
"20","00186D1646","F",201,"SGR_6",NA,"T7minusT1",NA
"25","00186D1648","M",202,"SGR_1",1.66390190392012,"T2minusT1",32
"26","00186D1648","M",202,"SGR_2",0.769759949654514,"T3minusT1",62
"29","00186D1648","M",202,"SGR_3",1.51097082230383,"T4minusT1",98
