"","TAGNUMBER","SEX","TANK_Real","condition1","WEIGHT","condition2","LENGTH","condition3","TIME"
"7","00186D163B","F",201,"WEIGHT_1",2.6,"LENGTH_1",61,"T1",2021-07-29
"6","00186D163B","F",201,"WEIGHT_2",5.9,"LENGTH_2",79,"T2",2021-08-30
"4","00186D163B","F",201,"WEIGHT_3",7,"LENGTH_3",85,"T3",2021-09-29
"1","00186D163B","F",201,"WEIGHT_4",10.9,"LENGTH_4",99,"T4",2021-11-04
"2","00186D163B","F",201,"WEIGHT_5",17.8,"LENGTH_5",119,"T5",2021-12-09
"5","00186D163B","F",201,"WEIGHT_6",27.9,"LENGTH_6",134,"T6",2022-01-06
"3","00186D163B","F",201,"WEIGHT_7",56.6,"LENGTH_7",166,"T7",2022-03-30
"10","00186D163D","M",201,"WEIGHT_1",2.8,"LENGTH_1",63,"T1",2021-07-29
"8","00186D163D","M",201,"WEIGHT_2",5,"LENGTH_2",76,"T2",2021-08-30
"11","00186D163D","M",201,"WEIGHT_3",5.7,"LENGTH_3",80,"T3",2021-09-29
"14","00186D163D","M",201,"WEIGHT_4",12,"LENGTH_4",100,"T4",2021-11-04
"12","00186D163D","M",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"13","00186D163D","M",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"9","00186D163D","M",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"20","00186D1640","M",202,"WEIGHT_1",2.7,"LENGTH_1",64,"T1",2021-07-29
"15","00186D1640","M",202,"WEIGHT_2",9.7,"LENGTH_2",95,"T2",2021-08-30
"19","00186D1640","M",202,"WEIGHT_3",16.6,"LENGTH_3",115,"T3",2021-09-29
"16","00186D1640","M",202,"WEIGHT_4",44.2,"LENGTH_4",151,"T4",2021-11-04
"21","00186D1640","M",202,"WEIGHT_5",87.7,"LENGTH_5",190,"T5",2021-12-09
"17","00186D1640","M",202,"WEIGHT_6",114.9,"LENGTH_6",209,"T6",2022-01-06
"18","00186D1640","M",202,"WEIGHT_7",107.7,"LENGTH_7",203,"T7",2022-02-04
"24","00186D1646","F",201,"WEIGHT_1",2.9,"LENGTH_1",65,"T1",2021-07-29
"28","00186D1646","F",201,"WEIGHT_2",6.8,"LENGTH_2",82,"T2",2021-08-30
"23","00186D1646","F",201,"WEIGHT_3",10.2,"LENGTH_3",96,"T3",2021-09-29
"27","00186D1646","F",201,"WEIGHT_4",18.1,"LENGTH_4",115,"T4",2021-11-04
"22","00186D1646","F",201,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"25","00186D1646","F",201,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"26","00186D1646","F",201,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"29","00186D1648","M",202,"WEIGHT_1",2.3,"LENGTH_1",60,"T1",2021-07-29
"30","00186D1648","M",202,"WEIGHT_2",3.9,"LENGTH_2",70,"T2",2021-08-30
"31","00186D1648","M",202,"WEIGHT_3",3.7,"LENGTH_3",73,"T3",2021-09-29
"35","00186D1648","M",202,"WEIGHT_4",10,"LENGTH_4",95,"T4",2021-11-04
"32","00186D1648","M",202,"WEIGHT_5",NA,"LENGTH_5",NA,"T5",NA
"33","00186D1648","M",202,"WEIGHT_6",NA,"LENGTH_6",NA,"T6",NA
"34","00186D1648","M",202,"WEIGHT_7",NA,"LENGTH_7",NA,"T7",NA
"41","00186D164C","M",151,"WEIGHT_1",1.9,"LENGTH_1",56,"T1",2021-07-29
"39","00186D164C","M",151,"WEIGHT_2",6.2,"LENGTH_2",85,"T2",2021-08-30
"38","00186D164C","M",151,"WEIGHT_3",17.2,"LENGTH_3",116,"T3",2021-09-29
"37","00186D164C","M",151,"WEIGHT_4",41.2,"LENGTH_4",151,"T4",2021-11-04
"40","00186D164C","M",151,"WEIGHT_5",81.5,"LENGTH_5",191,"T5",2021-12-09
"42","00186D164C","M",151,"WEIGHT_6",114.6,"LENGTH_6",216,"T6",2022-01-06
"36","00186D164C","M",151,"WEIGHT_7",250.5,"LENGTH_7",274,"T7",2022-03-30
"44","00186D164E","M",151,"WEIGHT_1",1.9,"LENGTH_1",56,"T1",2021-07-29
"47","00186D164E","M",151,"WEIGHT_2",5.8,"LENGTH_2",80,"T2",2021-08-30
"46","00186D164E","M",151,"WEIGHT_3",17.1,"LENGTH_3",111,"T3",2021-09-29
"45","00186D164E","M",151,"WEIGHT_4",39.7,"LENGTH_4",141,"T4",2021-11-04
"43","00186D164E","M",151,"WEIGHT_5",75.7,"LENGTH_5",178,"T5",2021-12-09
"48","00186D164E","M",151,"WEIGHT_6",113.8,"LENGTH_6",207,"T6",2022-01-06
"49","00186D164E","M",151,"WEIGHT_7",268.6,"LENGTH_7",268,"T7",2022-03-30
"54","00186D164F","F",151,"WEIGHT_1",1.8,"LENGTH_1",56,"T1",2021-07-29
"52","00186D164F","F",151,"WEIGHT_2",4.6,"LENGTH_2",77,"T2",2021-08-30
"56","00186D164F","F",151,"WEIGHT_3",11.6,"LENGTH_3",103,"T3",2021-09-29
"53","00186D164F","F",151,"WEIGHT_4",16.6,"LENGTH_4",116,"T4",2021-11-04
"51","00186D164F","F",151,"WEIGHT_5",29.1,"LENGTH_5",141,"T5",2021-12-09
