Temp,Replicate,Chamber,time_month,weight_g,RMR_mass_specific,RMR_absolute,ln_weight,ln_RMR_minus_MS,ln_RMR_minus_absolute,RMR_mass_corrected,Alpha,Breakpoint,LLO_at_MMR,ln_residual
15,1,1,0 month,5.4,156.5667747,0.845460583,1.686398954,5.053482594,-0.167873731,121.558124,21.562,26.627,23.486,-0.063502285
15,1,2,0 month,5.5,139.4149009,0.766781955,1.704748092,4.937454386,-0.265552801,108.5577013,19.35,21.576,NA,-0.176614816
15,1,3,0 month,7.7,166.6870438,1.283490237,2.041220329,5.116118065,0.249583115,136.9265437,16.395,55.104,20.808,0.055514302
15,1,4,0 month,5.1,119.4206459,0.609045294,1.62924054,4.782652099,-0.49586264,91.87912487,,,,-0.343415252
15,1,5,0 month,4.5,214.4274632,0.964923584,1.504077397,5.367971514,-0.035706368,161.7241859,23.484,21.51009987,28.037,0.222015739
15,1,6,0 month,3.6,257.2341795,0.926043046,1.280933845,5.549986874,-0.076834559,187.246862,,,,0.368573589
15,1,7,0 month,4.7,198.5363959,0.933121061,1.547562509,5.290972438,-0.069220332,150.7778234,,,,0.151926448
15,1,8,0 month,5.7,201.8944626,1.150798437,1.740466175,5.307745099,0.140455995,158.1037919,24.756,18.53415382,24.218,0.199351501
15,2,1,0 month,3.6,168.8079518,0.607708627,1.280933845,5.128761689,-0.498059745,122.879313,21.235865,29.820258,,-0.052651596
15,2,2,0 month,5.5,179.8817785,0.989349782,1.704748092,5.192299849,-0.010707338,140.0678998,24.08542821,19.46757141,23.63687097,0.078230647
15,2,3,0 month,4.8,169.3501865,0.812880895,1.568615918,5.131968681,-0.20717068,129.0437017,16.78618345,20.73215158,18.78133164,-0.003731923
15,2,4,0 month,6.5,167.3875169,1.08801886,1.871802177,5.120311585,0.084358483,133.8474393,23.33495747,20.45312312,22.48145078,0.032787278
15,2,5,0 month,8.2,176.7187517,1.449093764,2.104134154,5.174559495,0.370938371,146.6266168,24.91229769,26.26023424,25.30828385,0.123952739
15,2,6,0 month,5,202.4426604,1.012213302,1.609437912,5.310456688,0.012139322,155.2644549,21.68938102,20.45312308,21.28881727,0.181242699
15,2,7,0 month,7.4,176.6521583,1.307225971,2.00148,5.174182591,0.267907313,144.1984419,20.91855,69.02179,23.01879,0.10726409
15,2,8,0 month,8.3,155.6607989,1.291984631,2.116255515,5.047679274,0.256179509,129.4036267,23.38468246,26.13180255,23.09483891,-0.001001398
15,1,1,3 month,25.9,97.55535787,2.526683769,3.254242969,4.58041999,0.92690768,97.18507301,15.93933443,32.15392067,18.23803454,-0.287434476
15,1,2,3 month,32.5,115.5060072,3.753945233,3.481240089,4.749322539,1.322807349,119.2965274,17.44275141,70.36742525,22.1446105,-0.082462084
15,1,3,3 month,23.7,117.7935253,2.791706549,3.165475048,4.768933306,1.026653075,115.7018179,19.37353516,32.13265899,21.54946765,-0.113026382
15,1,4,3 month,40,131.3301635,5.253206539,3.688879454,4.877714484,1.658838659,140.1928291,22.6247523,24.91588736,23.07404111,0.078923756
15,1,5,3 month,20.9,106.5702855,2.227318966,3.039749159,4.668804725,0.800798605,102.6060963,12.8771397,34.82726708,18.62688828,-0.233132807
15,1,6,3 month,49.8,109.4922315,5.452713128,3.908014984,4.695853601,1.696113307,121.0254062,23.49105803,24.91588736,24.69516997,-0.068116491
15,1,7,3 month,31.2,102.1997697,3.188632814,3.440418095,4.626929424,1.15959224,104.8707258,17.58393779,23.23910455,21.25306292,-0.211341814
15,1,8,3 month,37.6,115.768867,4.352909398,3.62700405,4.751595677,1.470844449,122.3715403,21.1154346,50.16241835,24.78659464,-0.057027052
15,2,1,3 month,47.7,109.5108191,5.223666071,3.864931398,4.696023349,1.653199468,120.2195854,19.28324751,18.59097497,20.2621966,-0.074792725
15,2,2,3 month,35.9,119.5576018,4.292117904,3.580737295,4.783798279,1.456780295,125.4500933,20.67964837,30.75461145,25.83954008,-0.032176238
15,2,3,3 month,41.5,104.2958402,4.328277368,3.725693427,4.647231478,1.465169626,111.9877221,23.82609229,57.69776521,24.20258147,-0.14570951
15,2,4,3 month,22.7,122.0262964,2.769996928,3.122364924,4.804236566,1.018846211,119.0406578,13.60361802,50.34749089,16.59849353,-0.084573321
15,2,5,3 month,44.2,112.2364361,4.960850474,3.788724789,4.720607683,1.601577193,121.7278033,18.58655071,60.30458545,20.84849291,-0.062317622
15,2,6,3 month,25.2,107.2055871,2.701580796,3.226843995,4.674748366,0.993837082,106.3344238,13.26979052,50.73929291,17.10892931,-0.197459796
15,2,7,3 month,33.4,99.38803552,3.319560386,3.5085559,4.599031739,1.19983236,103.0964168,16.30888684,65.51434971,20.08673524,-0.228412401
15,2,8,3 month,41.8,128.2727076,5.361799176,3.73289634,4.854158525,1.679299586,137.8907288,21.86745395,49.13794705,25.10301113,0.062362081
15,1,1,6 month,204.9,110.2855826,22.59751588,5.322522055,4.703073207,3.117839983,152.6467948,23.52053585,28.0736337,28.2399387,0.163868288
15,1,2,6 month,117.5,137.7318866,16.18349667,4.766438334,4.925308945,2.783991999,174.5035609,29.39954322,34.66307157,28.81312106,0.297742323
15,1,3,6 month,209.8,113.00437,23.70831682,5.346154696,4.72742649,3.165825907,156.998711,24.94570553,54.0039041,28.21345631,0.191976798
15,1,4,6 month,159.9,113.481457,18.14568497,5.07454862,4.731639449,2.89843279,150.9977879,25.30691794,30.4458102,27.59065187,0.153031551
15,1,5,6 month,207.2,115.2806391,23.88614843,5.33368451,4.747369496,3.173298727,159.8439203,25.06723337,51.85953649,32.2705441,0.209938291
15,1,6,6 month,140.2,113.4320201,15.90316922,4.943069975,4.731203716,2.766518411,147.8095099,22.88036783,30.4458102,25.33056739,0.131703861
15,2,1,6 month,172.2,87.89270043,15.13512301,5.148656592,4.476116757,2.71701807,118.3357192,16.33334081,30.88893773,19.46777722,-0.090715384
15,2,2,6 month,122.2,92.76888341,11.33635755,4.805659047,4.530111275,2.428015043,118.2715878,29.401,28.66,30.915,-0.091223175
15,2,3,6 month,95.3,,,,,,,,,,
