Metric,Temp,Replicate,Chamber,time_month,weight_g,MR_mass_specific,Metric_absolute,ID
RMR,15,1,,0 month,5.4,156.5667747,0.845460583,BT_1
RMR,15,1,,0 month,5.5,139.4149009,0.766781955,BT_2
RMR,15,1,,0 month,7.7,166.6870438,1.283490237,BT_3
RMR,15,1,,0 month,5.1,119.4206458,0.609045294,BT_4
RMR,15,1,,0 month,4.5,214.4274632,0.964923584,BT_5
RMR,15,1,,0 month,3.6,257.2341795,0.926043046,BT_6
RMR,15,1,,0 month,4.7,198.5363959,0.933121061,BT_7
RMR,15,1,,0 month,5.7,201.8944626,1.150798437,BT_8
RMR,15,2,,0 month,3.6,168.8079518,0.607708627,BT_1
RMR,15,2,,0 month,5.5,179.8817785,0.989349782,BT_2
RMR,15,2,,0 month,4.8,169.3501865,0.812880895,BT_3
RMR,15,2,,0 month,6.5,167.3875169,1.08801886,BT_4
RMR,15,2,,0 month,8.2,176.7187517,1.449093764,BT_5
RMR,15,2,,0 month,5,202.4426604,1.012213302,BT_6
RMR,15,2,,0 month,7.4,176.6521583,1.307225971,BT_7
RMR,15,2,,0 month,8.3,155.6607989,1.291984631,BT_8
RMR,15,1,,3 month,25.9,100.6765774,2.607523354,BT_1
RMR,15,1,,3 month,32.5,120.5334448,3.917336958,BT_2
RMR,15,1,,3 month,23.7,124.4181067,2.948709129,BT_3
RMR,15,1,,3 month,40,136.8786836,5.475147345,BT_4
RMR,15,1,,3 month,20.9,113.4834053,2.371803171,BT_5
RMR,15,1,,3 month,49.8,117.8614364,5.869499532,BT_6
RMR,15,1,,3 month,31.2,106.9938723,3.338208815,BT_7
RMR,15,1,,3 month,37.6,121.7351183,4.577240448,BT_8
RMR,15,2,,3 month,47.7,114.8628145,5.478956251,BT_1
RMR,15,2,,3 month,35.9,131.287484,4.713220676,BT_2
RMR,15,2,,3 month,41.5,110.1342589,4.570571745,BT_3
RMR,15,2,,3 month,22.7,131.1715103,2.977593284,BT_4
RMR,15,2,,3 month,44.2,118.7483849,5.248678613,BT_5
RMR,15,2,,3 month,25.2,112.4288396,2.833206757,BT_6
RMR,15,2,,3 month,33.4,111.6666585,3.729666395,BT_7
RMR,15,2,,3 month,41.8,138.2850143,5.780313596,BT_8
RMR,15,1,,6 month,204.9,123.4733246,25.29968422,BT_1
RMR,15,1,,6 month,117.5,149.23978,17.53567415,BT_2
RMR,15,1,,6 month,209.8,118.7167757,24.90677954,BT_3
RMR,15,1,,6 month,159.9,123.0479838,19.67537261,BT_4
RMR,15,1,,6 month,207.2,119.9909452,24.86212385,BT_5
RMR,15,1,,6 month,140.2,126.8816148,17.78880239,BT_6
RMR,15,2,,6 month,172.2,95.23034891,16.39866608,BT_1
RMR,15,2,,6 month,122.2,113.1069223,13.82166591,BT_2
RMR,15,2,,6 month,95.3,154.5070696,14.72452373,BT_3
RMR,15,2,,6 month,124,107.5575006,13.33713008,BT_4
RMR,15,2,,6 month,221,99.65676205,22.02414441,BT_5
RMR,15,2,,6 month,176.8,98.95929933,17.49600412,BT_6
RMR,20,1,,0 month,6,173.1699532,1.039019719,BT_1
RMR,20,1,,0 month,7,184.4983685,1.29148858,BT_2
RMR,20,1,,0 month,6.3,207.8050813,1.309172012,BT_3
RMR,20,1,,0 month,3.8,188.1843911,0.715100686,BT_4
RMR,20,1,,0 month,4.6,192.2872276,0.884521247,BT_5
RMR,20,1,,0 month,6.7,181.1750539,1.213872861,BT_6
RMR,20,1,,0 month,4.9,216.6486382,1.061578327,BT_7
RMR,20,1,,0 month,6.8,225.6443491,1.534381574,BT_8
RMR,20,2,,0 month,6.6,207.9316778,1.372349073,BT_1
RMR,20,2,,0 month,4.9,158.4198901,0.776257461,BT_3
RMR,20,2,,0 month,5.2,194.7214565,1.012551574,BT_4
RMR,20,2,,0 month,5.3,185.9778334,0.985682517,BT_5
RMR,20,2,,0 month,7,187.2386193,1.310670335,BT_7
RMR,20,2,,0 month,8.7,197.3844382,1.717244613,BT_8
RMR,20,1,,3 month,17.4,179.5082995,3.123444412,BT_1
RMR,20,1,,3 month,26.7,143.6306916,3.834939467,BT_2
RMR,20,1,,3 month,32.3,170.2891322,5.500338971,BT_3
RMR,20,1,,3 month,22.4,151.5670749,3.395102477,BT_4
RMR,20,1,,3 month,38.6,178.5616496,6.892479673,BT_5
RMR,20,1,,3 month,20,156.2050523,3.124101046,BT_6
RMR,20,1,,3 month,15.2,189.895569,2.886412648,BT_7
RMR,20,1,,3 month,21.7,169.3384286,3.6746439,BT_8
RMR,20,2,,3 month,18.4,179.1016479,3.295470322,BT_1
RMR,20,2,,3 month,26.8,170.4473105,4.567987921,BT_2
RMR,20,2,,3 month,16.4,155.4938644,2.550099377,BT_3
RMR,20,2,,3 month,27.7,152.4218464,4.222085145,BT_4
RMR,20,2,,3 month,28.5,155.2672734,4.425117292,BT_5
RMR,20,2,,3 month,16.9,153.6104061,2.596015862,BT_6
RMR,20,2,,3 month,26.8,171.5380382,4.597219424,BT_7
RMR,20,2,,3 month,10.8,197.2539228,2.130342366,BT_8
RMR,20,1,,6 month,96.3,115.3999332,11.11301356,BT_1
RMR,20,1,,6 month,104.4,103.7946105,10.83615733,BT_2
RMR,20,1,,6 month,94.1,147.1688697,13.84859064,BT_3
RMR,20,1,,6 month,118.4,96.88032562,11.47063055,BT_4
RMR,20,1,,6 month,96.1,142.987921,13.74113921,BT_5
RMR,20,1,,6 month,141.3,124.3183759,17.56618652,BT_6
RMR,20,2,,6 month,161.2,109.9499494,17.72393184,BT_1
RMR,20,2,,6 month,108.1,95.7520663,10.35079837,BT_3
