Metric,Temp,Replicate,Chamber,time_month,weight_g,MR_mass_specific,MR_absolute
RMR,15,1,1,0 month,5.4,156.5667747,0.845460583
RMR,15,1,2,0 month,5.5,139.4149009,0.766781955
RMR,15,1,3,0 month,7.7,166.6870438,1.283490237
RMR,15,1,4,0 month,5.1,119.4206459,0.609045294
RMR,15,1,5,0 month,4.5,214.4274632,0.964923584
RMR,15,1,6,0 month,3.6,257.2341795,0.926043046
RMR,15,1,7,0 month,4.7,198.5363959,0.933121061
RMR,15,1,8,0 month,5.7,201.8944626,1.150798437
RMR,15,2,1,0 month,3.6,168.8079518,0.607708627
RMR,15,2,2,0 month,5.5,179.8817785,0.989349782
RMR,15,2,3,0 month,4.8,169.3501865,0.812880895
RMR,15,2,4,0 month,6.5,167.3875169,1.08801886
RMR,15,2,5,0 month,8.2,176.7187517,1.449093764
RMR,15,2,6,0 month,5,202.4426604,1.012213302
RMR,15,2,7,0 month,7.4,176.6521583,1.307225971
RMR,15,2,8,0 month,8.3,155.6607989,1.291984631
RMR,15,1,1,3 month,25.9,97.55535787,2.526683769
RMR,15,1,2,3 month,32.5,115.5060072,3.753945233
RMR,15,1,3,3 month,23.7,117.7935253,2.791706549
RMR,15,1,4,3 month,40,131.3301635,5.253206539
RMR,15,1,5,3 month,20.9,106.5702855,2.227318966
RMR,15,1,6,3 month,49.8,109.4922315,5.452713128
RMR,15,1,7,3 month,31.2,102.1997697,3.188632814
RMR,15,1,8,3 month,37.6,115.768867,4.352909398
RMR,15,2,1,3 month,47.7,109.5108191,5.223666071
RMR,15,2,2,3 month,35.9,119.5576018,4.292117904
RMR,15,2,3,3 month,41.5,104.2958402,4.328277368
RMR,15,2,4,3 month,22.7,122.0262964,2.769996928
RMR,15,2,5,3 month,44.2,112.2364361,4.960850474
RMR,15,2,6,3 month,25.2,107.2055871,2.701580796
RMR,15,2,7,3 month,33.4,99.38803552,3.319560386
RMR,15,2,8,3 month,41.8,128.2727076,5.361799176
RMR,15,1,1,6 month,204.9,110.2855826,22.59751588
RMR,15,1,2,6 month,117.5,137.7318866,16.18349667
RMR,15,1,3,6 month,209.8,113.00437,23.70831682
RMR,15,1,4,6 month,159.9,113.481457,18.14568497
RMR,15,1,5,6 month,207.2,115.2806391,23.88614843
RMR,15,1,6,6 month,140.2,113.4320201,15.90316922
RMR,15,2,1,6 month,172.2,87.89270043,15.13512301
RMR,15,2,2,6 month,122.2,92.76888341,11.33635755
RMR,15,2,3,6 month,95.3,,
RMR,15,2,4,6 month,124,92.66354102,11.49027909
RMR,15,2,5,6 month,221,96.67595571,21.36538621
RMR,15,2,6,6 month,176.8,89.8043567,15.87741027
RMR,20,1,1,0 month,6,173.1699532,1.039019719
RMR,20,1,2,0 month,7,184.4983685,1.29148858
RMR,20,1,3,0 month,6.3,207.8050813,1.309172012
RMR,20,1,4,0 month,3.8,188.1843911,0.715100686
RMR,20,1,5,0 month,4.6,192.2872276,0.884521247
RMR,20,1,6,0 month,6.7,181.1750539,1.213872861
RMR,20,1,7,0 month,4.9,216.6486382,1.061578327
RMR,20,1,8,0 month,6.8,225.6443491,1.534381574
RMR,20,2,1,0 month,6.6,156.6520203,1.033903334
RMR,20,2,2,0 month,4.1,145.2473312,0.595514058
RMR,20,2,3,0 month,4.9,187.5272771,0.918883658
RMR,20,2,4,0 month,5.2,202.0741379,1.050785517
RMR,20,2,5,0 month,5.3,182.4715368,0.967099145
RMR,20,2,6,0 month,5.9,136.9444844,0.807972458
RMR,20,2,7,0 month,7,158.4565963,1.109196174
RMR,20,2,8,0 month,8.7,196.9538788,1.713498745
RMR,20,1,1,3 month,17.4,171.6852507,2.987323361
RMR,20,1,2,3 month,26.7,135.1830431,3.609387251
RMR,20,1,3,3 month,32.3,163.2818283,5.274003054
RMR,20,1,4,3 month,22.4,146.3882167,3.279096053
RMR,20,1,5,3 month,38.6,169.7568187,6.5526132
RMR,20,1,6,3 month,20,147.5177659,2.950355319
RMR,20,1,7,3 month,15.2,176.4278697,2.681703619
RMR,20,1,8,3 month,21.7,162.372918,3.52349232
RMR,20,2,1,3 month,18.4,168.6946288,3.103981171
RMR,20,2,2,3 month,26.8,163.683636,4.386721444
RMR,20,2,3,3 month,16.4,147.7588071,2.423244437
RMR,20,2,4,3 month,27.7,145.5728527,4.032368021
RMR,20,2,5,3 month,28.5,147.3273419,4.198829243
RMR,20,2,6,3 month,16.9,146.0853196,2.468841902
RMR,20,2,7,3 month,26.8,165.7530529,4.442181817
RMR,20,2,8,3 month,10.8,187.6537647,2.026660659
RMR,20,1,1,6 month,96.3,101.2583054,9.751174809
RMR,20,1,2,6 month,104.4,94.97286681,9.915167295
RMR,20,1,3,6 month,94.1,133.3778557,12.55085622
RMR,20,1,4,6 month,118.4,87.32214492,10.33894196
RMR,20,1,5,6 month,96.1,133.8799201,12.86586032
RMR,20,1,6,6 month,141.3,117.3607354,16.58307191
RMR,20,2,1,6 month,161.2,97.43664727,15.70678754
RMR,20,2,2,6 month,,,
RMR,20,2,3,6 month,108.1,85.99861267,9.29645003
RMR,20,2,4,6 month,113.9,80.18273426,9.132813432
RMR,20,2,5,6 month,90.5,131.8710328,11.93432847
RMR,20,2,6,6 month,116.6,108.6509615,12.66870211
MMR,15,1,1,0 month,5.4,678.920191,3.666169031
MMR,15,1,2,0 month,5.5,648.2211982,3.56521659
MMR,15,1,3,0 month,7.7,687.88588,5.296721276
MMR,15,1,4,0 month,5.1,671.8569242,3.426470313
MMR,15,1,5,0 month,4.5,810.3638912,3.646637511
MMR,15,1,6,0 month,3.6,922.6164824,3.321419337
MMR,15,1,7,0 month,4.7,626.2900384,2.94356318
MMR,15,1,8,0 month,5.7,595.5600635,3.394692362
MMR,15,2,1,0 month,3.6,766.6114528,2.75980123
MMR,15,2,2,0 month,5.5,678.2593125,3.730426219
MMR,15,2,3,0 month,4.8,805.5369175,3.866577204
MMR,15,2,4,0 month,6.5,618.0142342,4.017092522
MMR,15,2,5,0 month,8.2,688.9714419,5.649565823
MMR,15,2,6,0 month,5,844.9605836,4.224802918
MMR,15,2,7,0 month,7.4,496.9098864,3.677133159
MMR,15,2,8,0 month,8.3,711.8086431,5.908011738
MMR,15,1,1,3 month,25.9,547.51797,14.18071542
MMR,15,1,2,3 month,32.5,397.5526927,12.92046251
MMR,15,1,3,3 month,23.7,538.3642371,12.75923242
MMR,15,1,4,3 month,40,463.0085846,18.52034339
MMR,15,1,5,3 month,20.9,447.3101365,9.348781853
MMR,15,1,6,3 month,49.8,355.3907435,17.69845903
MMR,15,1,7,3 month,31.2,465.41854,14.52105845
MMR,15,1,8,3 month,37.6,465.7682632,17.51288669
MMR,15,2,1,3 month,47.7,,
MMR,15,2,2,3 month,35.9,1010.523381,36.27778937
MMR,15,2,3,3 month,41.5,424.0637621,17.59864613
MMR,15,2,4,3 month,22.7,740.2335008,16.80330047
MMR,15,2,5,3 month,44.2,364.9141172,16.12920398
MMR,15,2,6,3 month,25.2,437.7314102,11.03083154
MMR,15,2,7,3 month,33.4,412.7311928,13.78522184
MMR,15,2,8,3 month,41.8,396.5877836,16.57736935
MMR,15,1,1,6 month,204.9,608.8997113,124.7635508
MMR,15,1,2,6 month,117.5,967.6376096,113.6974191
MMR,15,1,3,6 month,209.8,615.6823301,129.1701529
MMR,15,1,4,6 month,159.9,638.0158495,102.0187343
MMR,15,1,5,6 month,207.2,468.9560974,97.16770339
MMR,15,1,6,6 month,140.2,649.4450336,91.0521937
MMR,15,2,1,6 month,172.2,586.2235376,100.9476932
MMR,15,2,2,6 month,122.2,501.0440799,61.22758656
MMR,15,2,3,6 month,95.3,765.2834518,72.93151296
MMR,15,2,4,6 month,124,534.3461414,66.25892154
MMR,15,2,5,6 month,221,548.7068656,121.2642173
MMR,15,2,6,6 month,176.8,747.1086237,132.0888047
MMR,20,1,1,0 month,6,,
MMR,20,1,2,0 month,7,685.8508636,4.800956045
MMR,20,1,3,0 month,6.3,534.1652271,3.365240931
MMR,20,1,4,0 month,3.8,862.786039,3.278586948
MMR,20,1,5,0 month,4.6,764.5883018,3.517106188
MMR,20,1,6,0 month,6.7,832.7307587,5.579296083
MMR,20,1,7,0 month,4.9,622.4729241,3.050117328
MMR,20,1,8,0 month,6.8,794.1327399,5.400102631
MMR,20,2,1,0 month,6.6,685.864573,4.526706182
MMR,20,2,2,0 month,4.1,806.863239,3.30813928
MMR,20,2,3,0 month,4.9,813.208672,3.984722493
MMR,20,2,4,0 month,5.2,776.847094,4.039604889
MMR,20,2,5,0 month,5.3,1057.0344,5.60228232
MMR,20,2,6,0 month,5.9,550.265894,3.246568775
MMR,20,2,7,0 month,7,335.936824,2.351557768
MMR,20,2,8,0 month,8.7,665.429817,5.789239408
MMR,20,1,1,3 month,17.4,526.8838079,9.167778257
MMR,20,1,2,3 month,26.7,585.8432689,15.64201528
MMR,20,1,3,3 month,32.3,428.6205279,13.84444305
MMR,20,1,4,3 month,22.4,432.6873378,9.692196367
MMR,20,1,5,3 month,38.6,480.8865485,18.56222077
MMR,20,1,6,3 month,20,530.2090918,10.60418184
MMR,20,1,7,3 month,15.2,504.7864271,7.672753692
MMR,20,1,8,3 month,21.7,451.9629507,9.807596029
MMR,20,2,1,3 month,18.4,535.9300858,9.861113578
MMR,20,2,2,3 month,26.8,447.5814218,11.9951821
MMR,20,2,3,3 month,16.4,554.9711128,9.10152625
MMR,20,2,4,3 month,27.7,449.6077231,12.45413393
MMR,20,2,5,3 month,28.5,422.0628168,12.02879028
MMR,20,2,6,3 month,16.9,474.8457564,8.024893284
MMR,20,2,7,3 month,26.8,430.4160934,11.5351513
MMR,20,2,8,3 month,10.8,622.1114689,6.718803864
MMR,20,1,1,6 month,96.3,312.0803996,30.05334248
MMR,20,1,2,6 month,104.4,674.3695889,70.40418509
MMR,20,1,3,6 month,94.1,672.4783808,63.28021564
MMR,20,1,4,6 month,118.4,470.7533296,55.73719423
MMR,20,1,5,6 month,96.1,560.0215156,53.81806765
MMR,20,1,6,6 month,141.3,612.675934,86.57110947
MMR,20,2,1,6 month,161.2,455.6033438,73.44325902
MMR,20,2,2,6 month,102.9,474.7033557,48.8469753
MMR,20,2,3,6 month,108.1,535.511254,57.88876656
MMR,20,2,4,6 month,113.9,512.7810468,58.40576122
MMR,20,2,5,6 month,90.5,580.720869,52.55523865
MMR,20,2,6,6 month,116.6,357.1223435,41.64046525
