Temp,Replicate,Chamber,time_month,weight_g,MMR_mass_specific,MMR_absolute,LN(Weight),LN(MMR) - MS,LN(MMR) - Absolute,MMR (mass corrected),ln(Residual)
15,1,1,0 month,5.4,678.920191,3.666169031,1.686398954,6.520503582,1.299147256,620.0332981,0.047118524
15,1,2,0 month,5.5,648.2211982,3.56521659,1.704748092,6.474231993,1.271224807,592.6165106,0.001891002
15,1,3,0 month,7.7,687.88588,5.296721276,2.041220329,6.533622952,1.667088002,641.0563562,0.080427231
15,1,4,0 month,5.1,671.8569242,3.426470313,1.62924054,6.510045407,1.231530668,611.586854,0.033408036
15,1,5,0 month,4.5,810.3638912,3.646637511,1.504077397,6.697483395,1.293805513,732.4247961,0.213724241
15,1,6,0 month,3.6,922.6164824,3.321419337,1.280933845,6.827213636,1.200392203,823.3420489,0.330757614
15,1,7,0 month,4.7,626.2900384,2.94356318,1.547562509,6.439813584,1.079620814,567.4595721,-0.041471267
15,1,8,0 month,5.7,595.5600635,3.394692362,1.740466175,6.389502246,1.222213142,545.5823079,-0.080806387
15,2,1,0 month,3.6,766.6114528,2.75980123,1.280933845,6.641980093,1.015158659,684.1233126,0.14552407
15,2,2,0 month,5.5,678.2593125,3.730426219,1.704748092,6.519529682,1.316522495,620.0779427,0.04718869
15,2,3,0 month,4.8,805.5369175,3.866577204,1.568615918,6.691509033,1.352369672,730.7453217,0.211422121
15,2,4,0 month,6.5,618.0142342,4.017092522,1.871802177,6.42651149,1.390558388,570.406392,-0.036324124
15,2,5,0 month,8.2,688.9714419,5.649565823,2.104134154,6.535199822,1.731578697,644.3746616,0.085583897
15,2,6,0 month,5,844.9605836,4.224802918,1.609437912,6.73928998,1.440972613,768.2942532,0.261525839
15,2,7,0 month,7.4,496.9098864,3.677133159,2.00148,6.208408695,1.302133416,462.0337387,-0.247048252
15,2,8,0 month,8.3,711.8086431,5.908011738,2.116255515,6.567809116,1.776309351,666.1937481,0.118882896
15,1,1,3 month,25.9,547.51797,14.18071542,3.254242969,6.305395283,2.651882973,546.7720531,-0.07877945
15,1,2,3 month,32.5,397.5526927,12.92046251,3.481240089,5.985327486,2.558812296,402.1813201,-0.385931112
15,1,3,3 month,23.7,538.3642371,12.75923242,3.165475048,6.288535352,2.546255121,534.9173724,-0.100690276
15,1,4,3 month,40,463.0085846,18.52034339,3.688879454,6.137745595,2.91886977,473.9759516,-0.221698322
15,1,5,3 month,20.9,447.3101365,9.348781853,3.039749159,6.103252172,2.235246052,441.2725603,-0.293127259
15,1,6,3 month,49.8,355.3907435,17.69845903,3.908014984,5.87321787,2.873477575,368.381684,-0.473757235
15,1,7,3 month,31.2,465.41854,14.52105845,3.440418095,6.142937087,2.675599903,469.7430201,-0.230644282
15,1,8,3 month,37.6,465.7682632,17.51288669,3.62700405,6.143688221,2.862936992,475.1223326,-0.219276407
15,2,1,3 month,47.7,,,,,,,
15,2,2,3 month,35.9,1010.523381,36.27778937,3.580737295,6.918223674,3.591205691,1028.102924,0.552626468
15,2,3,3 month,41.5,424.0637621,17.59864613,3.725693427,6.049883826,2.867821974,435.0205245,-0.307465376
15,2,4,3 month,22.7,740.2335008,16.80330047,3.122364924,6.606965678,2.821575324,733.6890785,0.215287084
15,2,5,3 month,44.2,364.9141172,16.12920398,3.788724789,5.899662031,2.780631541,375.689951,-0.454100687
15,2,6,3 month,25.2,437.7314102,11.03083154,3.226843995,6.081605504,2.400694219,436.452903,-0.304128231
15,2,7,3 month,33.4,412.7311928,13.78522184,3.5085559,6.022796516,2.623597137,418.1871518,-0.346907811
15,2,8,3 month,41.8,396.5877836,16.57736935,3.73289634,5.982897413,2.808038473,407.0017013,-0.374041944
15,1,1,6 month,204.9,608.8997113,124.7635508,5.322522055,6.411653576,4.826420353,684.1534229,0.145163923
15,1,2,6 month,117.5,967.6376096,113.6974191,4.766438334,6.874857647,4.733540702,1053.306448,0.57672683
15,1,3,6 month,209.8,615.6823301,129.1701529,5.346154696,6.422731133,4.86113055,692.706793,0.157586177
15,1,4,6 month,159.9,638.0158495,102.0187343,5.07454862,6.458363125,4.625156466,706.8067271,0.177763784
15,1,5,6 month,207.2,468.9560974,97.16770339,5.33368451,6.150509155,4.576438387,527.2495857,-0.115345354
15,1,6,6 month,140.2,649.4450336,91.0521937,4.943069975,6.476118204,4.511432899,714.0964616,0.188037727
15,2,1,6 month,172.2,586.2235376,100.9476932,5.148656592,6.37370118,4.614602493,652.179263,0.097318582
15,2,2,6 month,122.2,501.0440799,61.22758656,4.805659047,6.216694081,4.114597849,546.6241791,-0.079205077
15,2,3,6 month,95.3,765.2834518,72.93151296,4.557029811,6.64024629,4.289520822,823.1528044,0.330200129
15,2,4,6 month,124,534.3461414,66.25892154,4.820281566,6.281043834,4.19357012,583.4418237,-0.014023303
15,2,5,6 month,221,548.7068656,121.2642173,5.398162702,6.307564357,4.797971779,619.1852443,0.045378656
