Temp,Replicate,Time,ID,Weight,GSA,OLD_GSA,total_filament_length_mm,GSA_length,Lamallae Density,Lamallae Area,Filament_count,Filament_count_over_ln_weight,GSA_over_g,Second_filament_posterior_length,Length_ratio,Ln_weight,Ln_GSA,LN_filament_length,RMR,MMR,SRMR,SMMR,ln_SRMR,ln_SMMR
15,1,3,68,40.0,15151,17004,1464,10.348,40.202,0.128701245,469,127.139,378.778,205.812,0.141,3.689,9.626,7.289,5.253206539,18.52034339,2884.16837,818.0805196,7.966991877,6.706960766
15,1,3,67,23.7,9559,10850,1280,7.466,41.032,0.090980473,477,150.688,403.336,193.270,0.151,3.165,9.165,7.155,2.791706549,12.75923242,3424.095772,749.1885309,8.138592708,6.618990662
15,1,3,69,20.9,7255,8815,1149,6.314,42.911,0.073569631,474,155.934,347.122,189.243,0.165,3.040,8.889,7.047,2.227318966,9.348781853,3257.213,776.0211336,8.088627201,6.654179754
15,2,3,73,47.7,18030,21033,1849,9.753,41.205,0.118342792,533,137.907,377.992,265.800,0.144,3.865,9.800,7.522,5.223666071,,3451.637761,,8.146604111,
15,2,3,75,41.5,16297,18489,1706,9.551,41.426,0.115282965,538,144.403,392.700,250.220,0.147,3.726,9.699,7.442,4.328277368,17.59864613,3765.24659,926.0389398,8.233568633,6.830916285
15,2,3,78,25.2,8680,10922,1292,6.717,43.081,0.077953091,491,152.161,344.446,188.472,0.146,3.227,9.069,7.164,2.701580796,11.03083154,3212.947067,786.8886462,8.074943884,6.668086747
15,2,0,29,8.2,2558,2558,853,2.998,41.237,0.036345286,482,229.073,311.901,127.290,0.149,2.104,7.847,6.749,1.449093764,5.649565823,1764.955509,452.7048807,7.475880762,6.115240436
15,2,0,31,7.4,2395,2395,678,3.534,42.840,0.041242616,423,211.344,323.585,117.211,0.173,2.001,7.781,6.519,1.307225971,3.677133159,1831.761374,651.1937255,7.513033282,6.478807179
15,2,0,32,8.3,3190,3190,877,3.638,41.955,0.043357492,491,232.014,384.293,150.900,0.172,2.116,8.068,6.776,1.291984631,5.908011738,2468.785278,539.8825827,7.811481518,6.291351676
15,1,0,21,4.5,1642,1642,617,2.660,42.33,0.031414856,457,303.841,364.827,99.459,0.161,1.504,7.403,6.425,0.964923584,3.646637511,1701.398882,450.2010146,7.439206063,6.109694182
15,1,0,22,3.6,1616,1616,610,2.650,44.518,0.029761593,439,342.719,448.880,93.656,0.154,1.281,7.388,6.413,0.926043046,3.321419337,1745.024647,486.5293347,7.464523959,6.187297197
15,1,0,17,5.4,1881,1881,659,2.854,45.021,0.031699646,447,265.062,348.281,99.776,0.151,1.686,7.539,6.491,0.845460583,3.666169031,2224.485792,512.9919103,7.707281063,6.240260076
15,1,6,99,209.8,65541,65541,3694,17.742,37.394,0.237231598,662,123.827,312.397,507.978,0.138,5.346,11.090,8.214,23.70831682,129.1701529,2764.471972,507.4003235,7.924604927,6.229300285
